Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes:	DoubleWinnings
47	813005604	jwmac03	0	107.22	DST Rams  WR Larry Fitzgerald QB Brian Hoyer RB DeMarco Murray WR Terrelle Pryor Sr. TE Zach Ertz FLEX Marquise Goodwin RB David Johnson WR Kelvin Benjamin	62	Triple	$10 		
48	813279843	AustinObregon	0	105.42	WR Chris Hogan DST Eagles  QB Ben Roethlisberger RB LeSean McCoy TE Zach Ertz FLEX Tyler Eifert RB David Johnson WR Martavis Bryant WR Zay Jones	62	Triple	$10 		
49	807563129	Daut44	0	100.34	WR Chris Hogan DST Jets  QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Robby Anderson FLEX Todd Gurley II	62	Triple	$10 		
49	810118667	MakeItRain84	0	100.34	WR Chris Hogan DST Jets  QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Robby Anderson FLEX Todd Gurley II	62	Triple	$10 		
51	813347220	bryanb5898	0	98.52	WR Emmanuel Sanders DST Seahawks  TE Jimmy Graham WR Michael Crabtree WR Mike Wallace FLEX Pierre Garcon QB Russell Wilson RB Todd Gurley II RB Ezekiel Elliott	62	Triple	$10 		
52	811507721	deen67	0	96.92	FLEX C.J. Anderson DST Colts  WR Brandon Marshall RB LeSean McCoy QB Russell Wilson WR Kendall Wright TE Zach Ertz RB Le'Veon Bell WR DeAndre Hopkins	62	Triple	$10 		
53	813178073	Creo8u2	0	94.44	WR Stefon Diggs DST Raiders  QB Matt Ryan TE Greg Olsen RB Jonathan Stewart WR Michael Crabtree WR Tavon Austin RB Le'Veon Bell FLEX Marqise Lee	62	Triple	$10 		
54	813324219	Hawkhawg2121	0	93.38	RB Dalvin Cook QB Tom Brady FLEX Chris Hogan DST Bills  WR Brandon Marshall TE Delanie Walker WR Michael Crabtree RB Devonta Freeman WR Davante Adams	62	Triple	$10 		
55	813381178	jabrodsk	0	89.38	TE Rob Gronkowski DST Colts  FLEX Matt Forte QB Matthew Stafford WR T.Y. Hilton WR John Brown WR Martavis Bryant RB Jordan Howard RB Christian McCaffrey	62	Triple	$10 		
56	813133703	themasterson	0	88.62	DST 49ers  WR Brandon Marshall WR Pierre Garcon QB Russell Wilson WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson	62	Triple	$10 		
57	810737866	xomar80x	0	88.34	TE Travis Kelce WR Ted Ginn Jr. DST Texans  QB Aaron Rodgers WR Kendall Wright FLEX Zach Ertz RB Le'Veon Bell RB David Johnson WR Zay Jones	62	Triple	$10 		
58	813316803	beaumagic	0	87.88	QB Tom Brady WR Chris Hogan DST Falcons  WR Michael Crabtree WR Julio Jones TE Zach Ertz FLEX Jamison Crowder RB Isaiah Crowell RB Christian McCaffrey	62	Triple	$10 		
59	811998198	taylerbug	0	87.42	WR Tyreek Hill WR Chris Hogan TE Rob Gronkowski DST Packers  QB Brian Hoyer WR A.J. Green FLEX Marquise Goodwin RB David Johnson RB Rob Kelley	62	Triple	$10 		
60	813282798	IceHoya	0	82.32	DST Patriots  FLEX Ted Ginn Jr. WR Doug Baldwin QB Russell Wilson TE Zach Ertz RB Le'Veon Bell WR Kelvin Benjamin RB Todd Gurley II WR Zay Jones	62	Triple	$10 		
61	813353381	dmilbern	0	78.02	DST Broncos  TE Delanie Walker WR Eric Decker FLEX Torrey Smith QB Russell Wilson WR Randall Cobb RB Le'Veon Bell WR Martavis Bryant RB Christian McCaffrey	62	Triple	$10 		
62	810861818	RexGrossman	0	75.44	DST Texans  WR Brandon Marshall QB Aaron Rodgers WR Kendall Wright RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson WR Kevin White TE Evan Engram	62	Triple	$10 		
