QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Matthew Stafford,Leonard Fournette,Ty Montgomery,A.J. Green,Marvin Jones Jr.,J.J. Nelson,Rob Gronkowski,Eric Ebron,Buccaneers ,DET,JAX,GB,CIN,DET,ARI,NE,DET,TB,6200,6000,6900,8100,4200,5300,6800,3300,3200,147.7,Scenario1,11,106.76
Carson Palmer,Ty Montgomery,Chris Thompson,A.J. Green,Larry Fitzgerald,Davante Adams,Zach Ertz,Jason Witten,Eagles ,ARI,GB,WAS,CIN,ARI,GB,PHI,DAL,PHI,6000,6900,4500,8100,6400,5600,5000,4500,3000,146.87,Scenario1,12,171.3
Dak Prescott,Ty Montgomery,Devonta Freeman,Dez Bryant,Mike Evans,Davante Adams,Zach Ertz,Eric Ebron,Redskins ,DAL,GB,ATL,DAL,TB,GB,PHI,DET,WAS,5800,6900,6700,6800,7500,5600,5000,3300,2400,146.32,Scenario1,13,129.02
Matt Ryan,Devonta Freeman,Chris Thompson,Mike Evans,Eric Decker,Julio Jones,Jason Witten,Eric Ebron,Eagles ,ATL,ATL,WAS,TB,TEN,ATL,DAL,DET,PHI,7100,6700,4500,7500,4000,9300,4500,3300,3000,145.0,Scenario1,14,123.16
Matt Ryan,Leonard Fournette,Frank Gore,Eric Decker,Larry Fitzgerald,Julio Jones,Delanie Walker,T.Y. Hilton,Steelers ,ATL,JAX,IND,TEN,ARI,ATL,TEN,IND,PIT,7100,6000,4200,4000,6400,9300,4400,5200,3400,143.94,Scenario1,15,152.66
Kirk Cousins,Leonard Fournette,Devonta Freeman,Mike Evans,Larry Fitzgerald,Terrelle Pryor Sr.,Delanie Walker,Chris Thompson,Raiders ,WAS,JAX,ATL,TB,ARI,WAS,TEN,WAS,OAK,6100,6000,6700,7500,6400,5900,4400,4500,2500,143.85,Scenario1,16,173.0
Ben Roethlisberger,Leonard Fournette,Devonta Freeman,DeAndre Hopkins,Antonio Brown,T.Y. Hilton,Delanie Walker,Eric Ebron,Eagles ,PIT,JAX,ATL,HOU,PIT,IND,TEN,DET,PHI,6200,6000,6700,6200,9000,5200,4400,3300,3000,143.11,Scenario1,17,145.7
Derek Carr,Chris Thompson,Frank Gore,Amari Cooper,Mike Evans,Julio Jones,Cameron Brate,Delanie Walker,Buccaneers ,OAK,WAS,IND,OAK,TB,ATL,TB,TEN,TB,6800,4500,4200,7100,7500,9300,3000,4400,3200,142.19,Scenario1,18,104.52
Dak Prescott,Leonard Fournette,Chris Thompson,Antonio Brown,Julio Jones,Terrance Williams,Coby Fleener,T.Y. Hilton,Raiders ,DAL,JAX,WAS,PIT,ATL,DAL,NO,IND,OAK,5800,6000,4500,9000,9300,3600,4100,5200,2500,141.27,Scenario1,19,166.92
Derek Carr,Lamar Miller,Theo Riddick,Amari Cooper,Antonio Brown,T.Y. Hilton,Cameron Brate,J.J. Nelson,Steelers ,OAK,HOU,DET,OAK,PIT,IND,TB,ARI,PIT,6800,5000,5100,7100,9000,5200,3000,5300,3400,140.08,Scenario1,20,104.52
