QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Carson Palmer,Chris Carson,Mike Gillislee,Jordan Matthews,Antonio Brown,Mohamed Sanu,Zach Ertz,J.J. Nelson,Cardinals,ARI,SEA,NE,BUF,PIT,ATL,PHI,ARI,ARI,6100,5400,5400,3900,9300,4800,6300,5600,3200,106.22,Scenario1,40
Blake Bortles,Jay Ajayi,Mike Gillislee,Jordan Matthews,Allen Hurns,A.J. Green,Zach Ertz,Tevin Coleman,Patriots,JAX,MIA,NE,BUF,JAX,CIN,PHI,ATL,NE,5300,7400,5400,3900,4700,8600,6300,5000,3400,105.95,Scenario1,41
Carson Palmer,Terrance West,Jay Ajayi,A.J. Green,Sammy Watkins,J.J. Nelson,Jack Doyle,C.J. Anderson,Broncos,ARI,BAL,MIA,CIN,LAR,ARI,IND,DEN,DEN,6100,4100,7400,8600,5900,5600,3400,5600,3300,105.63,Scenario1,42
Jay Cutler,C.J. Anderson,Mike Gillislee,Jordan Matthews,A.J. Green,DeVante Parker,Delanie Walker,Sammy Watkins,Cardinals,MIA,DEN,NE,BUF,CIN,MIA,TEN,LAR,ARI,5800,5600,5400,3900,8600,6700,4900,5900,3200,105.62,Scenario1,43
Jay Cutler,Mike Gillislee,Tevin Coleman,A.J. Green,Adam Thielen,DeSean Jackson,Rob Gronkowski,Kenny Stills,Broncos,MIA,NE,ATL,CIN,MIN,TB,NE,MIA,DEN,5800,5400,5000,8600,5800,5200,6600,4300,3300,105.35,Scenario1,44
Jay Cutler,Terrance West,Jay Ajayi,DeVante Parker,DeSean Jackson,Willie Snead,Rob Gronkowski,C.J. Anderson,Jaguars,MIA,BAL,MIA,MIA,TB,NO,NE,DEN,JAX,5800,4100,7400,6700,5200,5000,6600,5600,3600,105.1,Scenario1,45
Carson Palmer,C.J. Anderson,Mike Gillislee,DeVante Parker,Adam Thielen,Sterling Shepard,Rob Gronkowski,J.J. Nelson,Falcons,ARI,DEN,NE,MIA,MIN,NYG,NE,ARI,ATL,6100,5600,5400,6700,5800,5000,6600,5600,3200,104.94,Scenario1,46
Jameis Winston,Terrance West,Marshawn Lynch,A.J. Green,Michael Crabtree,DeSean Jackson,Rob Gronkowski,Sterling Shepard,Cardinals,TB,BAL,OAK,CIN,OAK,TB,NE,NYG,ARI,5900,4100,5000,8600,6200,5200,6600,5000,3200,104.18,Scenario1,47
Blake Bortles,Carlos Hyde,Marshawn Lynch,Allen Hurns,Michael Crabtree,Adam Thielen,Rob Gronkowski,Chris Hogan,Jaguars,JAX,SF,OAK,JAX,OAK,MIN,NE,NE,JAX,5300,6600,5000,4700,6200,5800,6600,6000,3600,102.15,Scenario1,48
Eli Manning,Carlos Hyde,Bilal Powell,Stefon Diggs,Michael Crabtree,Adam Thielen,Delanie Walker,Sterling Shepard,Seahawks,NYG,SF,NYJ,MIN,OAK,MIN,TEN,NYG,SEA,5700,6600,4600,7100,6200,5800,4900,5000,4100,100.78,Scenario1,49
