Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes
35	814170845	ashton0620 (1/2)	0	159.44	RB LeSean McCoy QB Aaron Rodgers RB Ty Montgomery WR Michael Crabtree DST Rams  WR Sterling Shepard TE Zach Ertz WR Pierre Garcon FLEX Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
35	814170857	ashton0620 (2/2)	0	159.44	RB LeSean McCoy QB Aaron Rodgers RB Ty Montgomery WR Michael Crabtree DST Rams  WR Sterling Shepard TE Zach Ertz WR Pierre Garcon FLEX Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812535192	spiggott7 (1/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812535235	spiggott7 (2/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812535258	spiggott7 (3/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812535268	spiggott7 (4/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812535273	spiggott7 (5/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812544236	spiggott7 (6/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812544814	spiggott7 (7/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812544829	spiggott7 (8/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812544837	spiggott7 (9/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
37	812544860	spiggott7 (10/10)	0	158.74	WR Kendall Wright QB Jared Goff RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown FLEX Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
47	811790636	klatourettejr (2/2)	0	158.58	RB Jordan Howard WR Amari Cooper DST Rams  RB Bilal Powell QB Carson Wentz WR Antonio Brown TE George Kittle WR Terrelle Pryor Sr. FLEX Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
47	811944818	foofnik	0	158.58	RB LeSean McCoy WR Eric Decker WR Amari Cooper RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
49	808078094	Tjpace20 (2/3)	0	158.06	QB Tyrod Taylor RB LeSean McCoy WR DeAndre Hopkins RB Todd Gurley II DST Rams  TE Zach Ertz WR Martavis Bryant WR Pierre Garcon FLEX Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
50	811045365	Tdownz	0	157.94	QB Matt Ryan WR Taylor Gabriel WR Corey Coleman RB Ezekiel Elliott WR Rishard Matthews RB Todd Gurley II DST Rams  TE Zach Ertz FLEX David Johnson	1149	Double	$1 	"Excludes Thursday, Florida games"
51	813072204	grizzkid33	0	155.98	WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson FLEX Carlos Hyde WR Pierre Garcon WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
51	814430953	BChap71 (2/2)	0	155.98	WR Michael Crabtree RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson FLEX Carlos Hyde WR Pierre Garcon WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
53	813215165	PKSLTD	0	155.64	FLEX Taylor Gabriel RB Jordan Howard RB Ezekiel Elliott QB Aaron Rodgers WR Jordy Nelson WR Rishard Matthews DST Rams  TE Zach Ertz WR Terrelle Pryor Sr.	1149	Double	$1 	"Excludes Thursday, Florida games"
53	811897350	mambapeter	0	155.64	FLEX Austin Hooper DST Bills  RB Ezekiel Elliott QB Aaron Rodgers RB Ty Montgomery WR Jordy Nelson WR Rishard Matthews TE Delanie Walker WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
55	812762496	GTM21	0	155.08	FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald RB Carlos Hyde WR Pierre Garcon WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
56	807659539	chuck1414	0	154.68	RB LeSean McCoy RB Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz WR Larry Fitzgerald FLEX Pierre Garcon WR Doug Baldwin WR Kelvin Benjamin	1149	Double	$1 	"Excludes Thursday, Florida games"
57	814419402	TheBigTicket (3/10)	0	153.98	RB LeSean McCoy WR Rishard Matthews WR Michael Crabtree FLEX Todd Gurley II DST Rams  WR Robby Anderson QB Carson Wentz TE Zach Ertz RB Le'Veon Bell	1149	Double	$1 	"Excludes Thursday, Florida games"
58	809297396	Salvini	0	152.74	FLEX Charles Clay WR A.J. Green QB Marcus Mariota WR Rishard Matthews RB Todd Gurley II DST Rams  TE Zach Ertz RB David Johnson WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
59	810906164	phatsneff	0	152.68	QB Derek Carr WR Amari Cooper WR Michael Crabtree RB Todd Gurley II DST Rams  TE Zach Ertz FLEX Pierre Garcon WR Doug Baldwin RB Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
60	813101488	benmm1093	0	152.48	RB DeMarco Murray DST Rams  QB Carson Wentz TE Zach Ertz WR Larry Fitzgerald WR Antonio Brown FLEX Carlos Hyde RB Christian McCaffrey WR Kelvin Benjamin	1149	Double	$1 	"Excludes Thursday, Florida games"
61	810306157	stickyfingers56 (2/2)	0	152.04	QB Matt Ryan RB LeSean McCoy WR Kenny Golladay TE Jack Doyle WR Amari Cooper RB Todd Gurley II DST Rams  FLEX Bilal Powell WR Kelvin Benjamin	1149	Double	$1 	"Excludes Thursday, Florida games"
62	810963206	Captn-Hindsight	0	150.98	RB LeSean McCoy WR Kendall Wright QB DeShone Kizer FLEX Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
62	814271586	cnoel85	0	150.98	FLEX LeSean McCoy WR Kendall Wright QB DeShone Kizer RB Todd Gurley II DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728037	dangelobros (1/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728039	dangelobros (2/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728044	dangelobros (3/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728048	dangelobros (4/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728050	dangelobros (5/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797728052	dangelobros (6/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797735913	dangelobros (7/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797735914	dangelobros (8/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797735915	dangelobros (9/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	797735918	dangelobros (10/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	810877818	dedeso1	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088013	00001Agent (1/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088015	00001Agent (2/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088019	00001Agent (3/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088022	00001Agent (4/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088026	00001Agent (5/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088036	00001Agent (6/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088038	00001Agent (7/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811088044	00001Agent (8/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811089982	00001Agent (9/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	811089999	00001Agent (10/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	812710740	pdpablo (1/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	812710777	pdpablo (5/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
64	812718237	pdpablo (7/10)	0	150.68	RB LeSean McCoy WR Kendall Wright DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald FLEX Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
88	807137735	Squanto401k	0	150.48	FLEX Frank Gore DST Rams  QB Carson Wentz WR Jordan Matthews TE Zach Ertz WR Larry Fitzgerald RB Le'Veon Bell WR Antonio Brown RB Carlos Hyde	1149	Double	$1 	"Excludes Thursday, Florida games"
89	811454496	mikew2069 (1/2)	0	150.2	RB Jordan Howard WR Marvin Jones Jr. DST Rams  WR Torrey Smith TE Zach Ertz RB David Johnson WR Antonio Brown FLEX Carlos Hyde QB Kirk Cousins	1149	Double	$1 	"Excludes Thursday, Florida games"
90	810829774	nerkmurph	0	150.14	RB Lamar Miller WR DeAndre Hopkins RB Jordan Howard QB Aaron Rodgers TE Zach Ertz WR Antonio Brown DST Steelers  FLEX Carlos Hyde WR Allen Robinson	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121217	Kern (1/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121218	Kern (2/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121219	Kern (3/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121220	Kern (4/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121221	Kern (5/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121222	Kern (6/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
91	811121223	Kern (7/10)	0	149.96	WR A.J. Green TE Delanie Walker RB Todd Gurley II WR Cooper Kupp DST Rams  FLEX Zach Ertz QB Carson Palmer RB David Johnson WR Larry Fitzgerald	1149	Double	$1 	"Excludes Thursday, Florida games"
