Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
79868,Anthony Fasano,TE,MIA,2500,0,0,0,
79871,Jalin Marshall,WR,NYJ,3000,0,0,0,
79873,Fozzy Whittaker,RB,CAR,3000,0,0,0,
79874,Bengals ,DST,CIN,3300,6.81,9,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
79878,David Njoku,TE,CLE,2900,6.88,13.9,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1|StarBad:1
79884,Brandon LaFell,WR,CIN,3500,8.08,8.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasBad:1|VegasGood:1
79885,Ryan Hewitt,TE,CIN,2500,0,0,0,
79892,Colts ,DST,IND,2700,6.55,2,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
79898,Travis Benjamin,WR,LAC,4000,10.09,5.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|VegasGood:1
79905,Kyle Juszczyk,RB,SF,3000,0,9.7,0,PlayerMatchupIsGood:1
79907,LeSean McCoy,RB,BUF,7800,17.39,14.9,0,ExpectedStarter:1|ThumbDown:1|StarBad:1
79908,Jermaine Kearse,WR,NYJ,4500,9.82,13.8,0,ExpectedStarter:1
79909,Brian Hoyer,QB,SF,4700,15.19,25.12,0,ExpectedStarter:1|PlayerMatchupIsGreat:2|ThumbUp:1|StarBad:1
79911,Bryce Petty,QB,NYJ,4000,0,0,0,PlayerMatchupIsGreat:1
79912,Will Tye,TE,NYJ,2500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
79917,Rashard Higgins,WR,CLE,3500,6.84,2.7,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
79918,Joshua Dobbs,QB,PIT,4000,0,0,0,PlayerMatchupIsHorribad:2
79939,Damien Williams,RB,MIA,3800,0,3.8,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79940,Martavis Bryant,WR,PIT,5000,12.16,8.4,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|Injured:1
79943,J.J. Nelson,WR,ARI,4900,11.83,12.4,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|ThumbUp:1|StarGood:1
79944,Blake Bortles,QB,JAX,4800,14.05,3.7,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|ThumbUp:1
79945,49ers ,DST,SF,2600,6.06,6,0,ExpectedStarter:1
79954,Marqise Lee,WR,JAX,4400,10.61,6.9,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|Injured:1
79955,Cooper Rush,QB,DAL,4500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
79956,Antonio Gates,TE,LAC,3300,5.05,4.3,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|StarGood:1|VegasBad:1
79962,Brad Kaaya,QB,CAR,4000,0,0,0,
79972,Kenyan Drake,RB,MIA,4000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79973,Ben Roethlisberger,QB,PIT,6400,20.84,10.58,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|StarGood:1
79974,Kellen Clemens,QB,LAC,4000,0,0,0,PlayerMatchupIsHorribad:1
79977,Josh Gordon,WR,CLE,4000,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
79983,Alex Armah,RB,CAR,3000,0,0,0,
79988,Paul Richardson,WR,SEA,4600,11.03,6.5,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
79989,Shelton Gibson,WR,PHI,3000,0,0,0,PlayerMatchupIsGood:1
79990,Dak Prescott,QB,DAL,6800,20.79,30.74,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|ThumbUp:2|VegasGood:1|StarGood:1
79991,Maxx Williams,TE,BAL,2500,0,0,0,PlayerMatchupIsGood:1|Injured:1
79996,Clark Harris,TE,CIN,2500,0,0,0,PlayerMatchupIsHorribad:1
80000,Jesse James,TE,PIT,3000,6.29,5.4,0,ExpectedStarter:1
80005,Brett Hundley,QB,GB,4200,0,0,0,PlayerMatchupIsGood:1
80009,Matt Cassel,QB,TEN,4700,10.88,8.64,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|StarBad:1|VegasBad:1
80010,Packers ,DST,GB,2400,5.79,8,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
80016,Elijhaa Penny,RB,ARI,3000,0,1.6,0,
80017,Kevin McDermott,TE,MIN,2500,0,0,0,
80021,Tyrell Williams,WR,LAC,5300,11.12,3.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|OptimalPick:1|VegasBad:1
80022,Mitchell Trubisky,QB,CHI,4900,13.1,11.56,0,ExpectedStarter:1|PlayerMatchupIsBad:2
80023,Neal Sterling,TE,NYJ,2500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
80028,Sammy Watkins,WR,LAR,5000,12.42,0,0,ExpectedStarter:1
80036,Kasen Williams,WR,CLE,3000,2.49,7.3,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
80038,Chris Carson,RB,SEA,5900,0,0,0,Injured:1
80039,Cooper Kupp,WR,LAR,4500,13.04,7.4,0,ExpectedStarter:1|VegasBad:1
80040,Brandon Allen,QB,LAR,4000,0,0,0,PlayerMatchupIsHorribad:1
80043,Travaris Cadet,RB,NYJ,3000,0,0,0,PlayerMatchupIsGreat:2
80050,Stefon Diggs,WR,MIN,7300,16.77,1.4,0,ExpectedStarter:1|PlayerIsHot:1|ThumbDown:1|ThumbUp:1|VegasBad:1
80051,EJ Manuel,QB,OAK,4900,10.37,11.86,0,ExpectedStarter:1|VegasBad:1
80052,Sean Culkin,TE,LAC,2500,0,0,0,PlayerMatchupIsGreat:1
80071,Kendall Wright,WR,CHI,4000,8.51,8.6,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1|VegasGood:1
80072,Victor Bolden Jr.,WR,SF,3000,0,0,0,
80076,Latavius Murray,RB,MIN,4500,8.28,6.3,0,ExpectedStarter:1|PlayerMatchupIsGood:1|VegasGood:1
80083,Giovani Bernard,RB,CIN,4100,10.89,5.2,0,ExpectedStarter:1|PlayerMatchupIsGood:2
80084,Tyler Kroft,TE,CIN,3200,7.99,7.8,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|OptimalPick:1|VegasGood:2|StarBad:1
80092,Zach Zenner,RB,DET,3300,0,7.1,0,PlayerMatchupIsBad:2
80093,James Wright,WR,CLE,3000,0,0,0,PlayerMatchupIsHorribad:1
80097,Aldrick Robinson,WR,SF,3100,4.86,1.5,0,ExpectedStarter:1|VegasBad:1
80104,Matthew Stafford,QB,DET,6300,16.63,16.16,0,ExpectedStarter:1|PlayerMatchupIsGood:1
80108,Eric Decker,WR,TEN,4000,9.68,7.4,0,ExpectedStarter:1
80109,Mike Wallace,WR,BAL,4000,8.14,19.3,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbDown:1|VegasBad:1
80110,Titans ,DST,TEN,3000,5.4,9,0,ExpectedStarter:1
80114,Todd Gurley II,RB,LAR,8000,20.95,6,0,ExpectedStarter:1|PlayerIsHot:2|OptimalPick:1|ThumbDown:1|VegasGood:1
80122,Dez Bryant,WR,DAL,6500,18.89,16.2,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|ThumbUp:2|VegasGood:1|StarGood:1
80124,Chris Johnson,RB,ARI,3900,7.44,3.9,0,ExpectedStarter:1
80125,Jalston Fowler,RB,TEN,3000,0,0,0,
80126,Austin Ekeler,RB,LAC,3000,8.03,5.8,0,ExpectedStarter:1|VegasBad:1|VegasGood:1
80131,Keelan Cole,WR,JAX,3000,3.93,1.4,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|VegasBad:1|StarBad:1
80132,Amara Darboh,WR,SEA,3000,0,0,0,PlayerMatchupIsGreat:1
80139,Jarvis Landry,WR,MIA,5800,16.65,15.4,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|PlayerIsHot:1|ThumbDown:1
80140,Marcus Johnson,WR,PHI,3000,0,1.6,0,PlayerMatchupIsGood:1
80147,Chad Henne,QB,JAX,4300,0,0,0,PlayerMatchupIsHorribad:2
80148,Nick Boyle,TE,BAL,2500,4.29,1.9,0,ExpectedStarter:1|PlayerMatchupIsGood:1|VegasBad:1
80158,Ross Travis,TE,KC,2500,0,4.6,0,PlayerMatchupIsHorribad:1
80162,Danny Vitale,RB,CLE,3000,0,0,0,
80166,Curtis Samuel,WR,CAR,3600,0,0,0,Injured:1
80171,Jamize Olawale,RB,OAK,3000,0,1.3,0,
80172,Johnny Holton,WR,OAK,3000,0,0,0,
80177,David Johnson,RB,ARI,6300,0,0,0,Injured:1
80178,Alex Erickson,WR,CIN,3000,2.99,1.6,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasGood:1|StarGood:1|VegasBad:1
80179,Lance Kendricks,TE,GB,2500,0,3.4,0,PlayerMatchupIsGreat:1
80183,Kelvin Benjamin,WR,CAR,5900,13.14,15.8,0,ExpectedStarter:1
80189,Alex Smith,QB,KC,5900,16.15,29.86,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1|VegasBad:1
80192,Cameron Artis-Payne,RB,CAR,3000,0,0,0,
80193,Martellus Bennett,TE,GB,4100,9.18,8.3,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
80196,Isaiah Ford,WR,MIA,3000,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|Injured:1
80201,Demarcus Robinson,WR,KC,3000,0,2.6,0,PlayerMatchupIsHorribad:1
80210,Luke Stocker,TE,TB,2500,0,0,0,
80218,Anthony Sherman,RB,KC,3000,0,0,0,PlayerMatchupIsBad:2
80224,Tyler Boyd,WR,CIN,3200,4.27,2.6,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
80228,Justin Hunter,WR,PIT,3000,0,1.6,0,PlayerMatchupIsHorribad:2
80234,Terrance Williams,WR,DAL,3600,8.52,3.4,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|VegasBad:1
80235,Brandon Tate,WR,BUF,3000,0,10.5,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
80240,C.J. Fiedorowicz,TE,HOU,3000,0,0,0,PlayerMatchupIsHorribad:1|Injured:1|ThumbDown:1
80247,Kevin Hogan,QB,CLE,4600,0,17.76,0,PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
80248,Clive Walford,TE,OAK,2500,0,0,0,PlayerMatchupIsGood:1
80253,Philip Rivers,QB,LAC,5800,15.17,21.82,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasBad:1
80259,Duke Johnson Jr.,RB,CLE,4900,13.05,17.3,0,ExpectedStarter:1|PlayerIsHot:1|VegasGood:1
80260,Kellen Moore,QB,DAL,4000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
80265,Stephen Anderson,TE,HOU,2700,0,8.3,0,PlayerMatchupIsHorribad:1
80269,Laquon Treadwell,WR,MIN,3100,0,0,0,
80283,Deonte Thompson,WR,CHI,3100,5.47,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1|StarGood:1
80284,Tyler Higbee,TE,LAR,2500,2.88,13.8,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasBad:1
80288,Seth DeValve,TE,CLE,2600,5.42,5.4,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsGood:1|StarBad:1|VegasBad:1
80291,Jordy Nelson,WR,GB,8100,20.65,10.4,0,ExpectedStarter:1|PlayerIsHot:1
80297,Alshon Jeffery,WR,PHI,5800,14.86,6.1,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:1|StarGood:1
80305,Phillip Dorsett,WR,NE,4000,0,0,0,PlayerMatchupIsGood:1
80306,Trent Taylor,WR,SF,3400,10.35,1.6,0,ExpectedStarter:1
80307,Jameis Winston,QB,TB,6000,20.97,21.46,0,ExpectedStarter:1|PlayerMatchupIsGood:2
80309,Ezekiel Elliott,RB,DAL,8800,21.91,17.2,0,ExpectedStarter:1|VegasGood:1
80310,Matthew Dayes,RB,CLE,3000,0,0,0,
80311,Ed Dickson,TE,CAR,2900,4.79,25.5,0,ExpectedStarter:1|PlayerMatchupIsBad:1|StarGood:1|VegasBad:1
80313,Gerald Everett,TE,LAR,2500,0,1.8,0,PlayerMatchupIsHorribad:1
80330,Jordan Leslie,WR,CLE,3100,0,0,0,PlayerMatchupIsHorribad:1
80331,Eric Weems,WR,TEN,3000,0,0,0,
80335,Jerell Adams,TE,NYG,2500,0,2.1,0,PlayerMatchupIsHorribad:1
80338,Carlos Hyde,RB,SF,6900,16.63,2.8,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:1|VegasGood:1
80341,Derek Carr,QB,OAK,6200,0,0,0,Injured:1
80342,Browns ,DST,CLE,3000,5.02,6,0,ExpectedStarter:1|PlayerMatchupIsGood:1
80351,Aaron Rodgers,QB,GB,8100,25.79,24.04,0,ExpectedStarter:1|PlayerMatchupIsGood:1
80358,Daniel Brown,TE,CHI,2500,0,0,0,
80366,Bills ,DST,BUF,2600,7.24,8,0,ExpectedStarter:1|PlayerMatchupIsBad:1
80372,Cordarrelle Patterson,WR,OAK,3100,0,0,0,
80373,Josh Bellamy,WR,CHI,3000,4.88,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1|StarGood:1
80381,Seth Roberts,WR,OAK,3600,5.39,5.4,0,ExpectedStarter:1|VegasGood:1
80385,Rex Burkhead,RB,NE,4000,0,0,0,Injured:1
