Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
84834,Tyrell Williams,WR,LAC,4000,8.49,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbDown:1
84841,Brett Hundley,QB,GB,5100,11.6,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:2|VegasBad:1
84843,Vance McDonald,TE,PIT,2600,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
84847,Jay Ajayi,RB,MIA,6200,15.49,0,0,ExpectedStarter:1|VegasBad:2|StarBad:1
84848,MarQueis Gray,TE,MIA,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
84849,Kyle Nelson,TE,SF,2500,0,0,0,PlayerMatchupIsGreat:1
84857,Rhett Ellison,TE,NYG,2500,0,0,0,PlayerMatchupIsHorribad:1
84862,Markus Wheaton,WR,CHI,3200,0,0,0,Injured:1
84876,Ezekiel Elliott,RB,DAL,9000,25.53,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:2|PlayerIsHot:1
84877,Kenny Stills,WR,MIA,4400,11.21,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbDown:1
84878,Michael Campanaro,WR,BAL,3300,4.72,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasBad:1|StarBad:1
84881,De'Angelo Henderson,RB,DEN,3600,0,0,0,PlayerMatchupIsGood:1
84882,C.J. Ham,RB,MIN,3000,0,0,0,
84883,Marcedes Lewis,TE,JAX,2600,4.46,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1|StarBad:1|VegasGood:1
84889,Cameron Artis-Payne,RB,CAR,3000,0,0,0,PlayerMatchupIsGood:2
84890,Josh Malone,WR,CIN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84894,Robby Anderson,WR,NYJ,4200,9.71,0,0,ExpectedStarter:1|PlayerIsHot:1|ThumbUp:1|StarBad:1|VegasGood:1
84897,Doug Baldwin,WR,SEA,6600,15.22,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2
84898,Adam Humphries,WR,TB,4200,9.83,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1
84907,Chad Henne,QB,JAX,4300,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
84908,Jesse James,TE,PIT,2900,5.92,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
84909,Khari Lee,TE,BUF,2500,0,0,0,PlayerMatchupIsBad:1
84913,Marqise Lee,WR,JAX,4300,10.78,0,0,ExpectedStarter:1|StarBad:1|VegasGood:1
84922,Mike Gillislee,RB,NE,4500,9.25,0,0,ExpectedStarter:1|VegasGood:1
84923,Rod Smith,RB,DAL,3300,0,0,0,PlayerMatchupIsGreat:2
84924,Hunter Henry,TE,LAC,4200,11.3,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerIsHot:1
84925,Cowboys ,DST,DAL,3500,5.01,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
84931,Case Keenum,QB,MIN,5000,12.58,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|StarGood:1
84932,Lance Kendricks,TE,GB,2500,0,0,0,
84938,Jeff Driskel,QB,CIN,4000,0,0,0,PlayerMatchupIsHorribad:2|Injured:1
84941,Shane Vereen,RB,NYG,3600,6.52,0,0,ExpectedStarter:1
84945,Bryce Petty,QB,NYJ,4000,0,0,0,PlayerMatchupIsGreat:1
84953,Carlos Hyde,RB,SF,5900,17.23,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|ThumbUp:1|StarGood:1
84954,Randall Telfer,TE,CLE,2500,0,0,0,
84958,Taquan Mizzell,RB,CHI,3000,0,0,0,PlayerMatchupIsHorribad:1
84961,Keelan Cole,WR,JAX,3000,2.97,0,0,ExpectedStarter:1|StarBad:1|VegasGood:1
84969,Brandin Cooks,WR,NE,7400,14.86,0,0,ExpectedStarter:1|PlayerIsHot:1|ThumbDown:1
84970,Brad Kaaya,QB,CAR,4000,0,0,0,PlayerMatchupIsBad:2
84971,Tyler Higbee,TE,LAR,2700,3.52,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|StarGood:1
84972,Jake Butt,TE,DEN,2500,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
84976,George Winn,RB,IND,3000,0,0,0,Injured:1
84977,Michael Hoomanawanui,TE,NO,2500,0,0,0,PlayerMatchupIsHorribad:1
84980,Adam Shaheen,TE,CHI,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
84982,John Brown,WR,ARI,4900,11.42,0,0,ExpectedStarter:1|ThumbUp:1|VegasBad:1|StarBad:1
84983,Chase Daniel,QB,NO,4600,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
84987,Carson Palmer,QB,ARI,6600,19.02,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
84988,Trevor Siemian,QB,DEN,5400,14.07,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|StarBad:1
84990,Jamaal Williams,RB,GB,4200,0,0,0,PlayerMatchupIsBad:1
84991,Philip Rivers,QB,LAC,5300,13.31,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|ThumbDown:1
84992,James Winchester,TE,KC,2500,0,0,0,PlayerMatchupIsGood:1
85000,Virgil Green,TE,DEN,2500,4.29,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbUp:1|StarBad:1|VegasGood:1
85013,Cole Hikutini,TE,SF,2500,0,0,0,PlayerMatchupIsGreat:1
85018,Matt Moore,QB,MIA,4500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
85019,Joe Webb,QB,BUF,4000,0,0,0,PlayerMatchupIsGreat:1
85025,T.Y. Hilton,WR,IND,6100,14.48,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|VegasBad:1|StarGood:1|VegasGood:1
85030,Todd Gurley II,RB,LAR,8200,19.73,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1|VegasGood:1
85031,Jalston Fowler,RB,TEN,3000,0,0,0,PlayerMatchupIsGood:2
85033,Mike Wallace,WR,BAL,4100,10.29,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasGood:1
85034,Jeff Janis,WR,GB,3300,0,0,0,
85035,James Hanna,TE,DAL,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85039,Breshad Perriman,WR,BAL,3000,2.96,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
85040,Packers ,DST,GB,2300,5.77,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
85042,Terrell Watson,RB,PIT,3000,0,0,0,
85043,Adam Thielen,WR,MIN,6700,14.22,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|PlayerIsHot:1|VegasBad:1
85046,Austin Carr,WR,NO,3000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
85047,Eagles ,DST,PHI,2800,6.81,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
85051,LeGarrette Blount,RB,PHI,4500,9.91,0,0,ExpectedStarter:1|ThumbUp:1
85052,J.J. Nelson,WR,ARI,4000,10.92,0,0,ExpectedStarter:1|ThumbUp:1|StarGood:1
85053,Justin Hardy,WR,ATL,3700,5.44,0,0,ExpectedStarter:1|VegasBad:1
85054,Alex Erickson,WR,CIN,3000,2.93,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbUp:1|VegasBad:1|StarBad:1
85055,Matt Schaub,QB,ATL,4300,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
85061,Chris Conley,WR,KC,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|Injured:1
85067,Keith Smith,RB,DAL,3000,0,0,0,PlayerMatchupIsGreat:2
85069,Robert Turbin,RB,IND,3700,0,0,0,ThumbUp:1
85076,Danny Amendola,WR,NE,5600,12.88,0,0,ExpectedStarter:1|PlayerIsHot:1
85077,Vernon Davis,TE,WAS,3700,8.22,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbDown:1|VegasGood:1
