player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projections,,Week,Name,Pos,DK points,New Predicted,Average Projection
Reggie Bush,RB,1.52,1.98,-2.44,5.48,0.58,0.5,#N/A,,,,,,,
Kenyan Drake,RB,1.4,1.09,-0.77,3.57,0.7,1.25,#N/A,,,,,,,
Daniel Lasco,RB,1.23,1.46,-1.7,4.15,0.4,0.34,#N/A,,,,,,,
Kenneth Farrow,RB,1.2,1.09,-0.99,3.38,0.74,1.04,#N/A,,,,,,,
Antonio Andrews,RB,1.16,1.72,-2.28,4.59,0.7,0.48,#N/A,,,,,,,
Alex Collins,RB,1.02,0.85,-0.69,2.73,0.63,0.8,#N/A,,,,,,,
Tyler Ervin,RB,1,0.81,-0.62,2.63,0.96,0.87,#N/A,,,,,,,
Mike Davis,RB,1,0.9,-0.81,2.81,0.64,0.78,#N/A,,,,,,,
Kenjon Barner,RB,1,0.8,-0.61,2.6,0.4,1.04,#N/A,,,,,,,
Malcolm Johnson,RB,0.92,0.72,-0.52,2.36,0.69,0.58,#N/A,,,,,,,
Andy Janovich,RB,0.87,0.84,-0.82,2.56,0.38,0.5,#N/A,,,,,,,
Corey Grant,RB,0.87,1.47,-2.08,3.81,0.61,0.29,#N/A,,,,,,,
Taiwan Jones,RB,0.85,1.12,-1.4,3.1,0.38,0.2,#N/A,,,,,,,
Jonathan Williams,RB,0.81,0.64,-0.46,2.08,0.6,0.39,#N/A,,,,,,,
Fitzgerald Toussaint,RB,0.78,0.97,-1.16,2.73,1.09,0.47,#N/A,,,,,,,
Patrick DiMarco,RB,0.76,0.4,-0.05,1.56,0.66,0.51,#N/A,,,,,,,
Stepfan Taylor,RB,0.71,0.31,0.1,1.32,0.64,0.72,#N/A,,,,,,,
Malcolm Brown,RB,0.7,0.51,-0.31,1.71,0.47,0.7,#N/A,,,,,,,
Knile Davis,RB,0.61,0.48,-0.35,1.57,0.78,0.7,#N/A,,,,,,,
Troymaine Pope,RB,0.5,0.54,-0.57,1.57,0.21,0.3,#N/A,,,,,,,
Isaiah Pead,RB,0.49,0.85,-1.21,2.2,1.97,0,#N/A,,,,,,,
Jordan Todman,RB,0.45,0.63,-0.81,1.72,0.46,0.29,#N/A,,,,,,,
Anthony Sherman,RB,0.43,0.62,-0.81,1.66,0.22,0.22,#N/A,,,,,,,
James Develin,RB,0.41,0.43,-0.45,1.27,0.41,0.26,#N/A,,,,,,,
Jalston Fowler,RB,0.41,0.45,-0.49,1.3,0.37,0.2,#N/A,,,,,,,
Aaron Ripkowski,RB,0.33,0.39,-0.45,1.11,0.13,0.22,#N/A,,,,,,,
Rex Burkhead,RB,0.29,0.48,-0.68,1.26,0.21,0.09,#N/A,,,,,,,
Jay Prosch,RB,0.27,0.24,-0.21,0.75,0.2,0.2,#N/A,,,,,,,
Jerome Felton,RB,0.2,0.2,-0.19,0.59,0.3,0.2,#N/A,,,,,,,
Darius Jackson,RB,0.14,0.19,-0.25,0.52,0.19,0.04,#N/A,,,,,,,
George Atkinson,RB,0.12,0.22,-0.31,0.56,0.11,0.01,#N/A,,,,,,,
Daryl Richardson,RB,0.11,0.19,-0.26,0.48,0.43,0,#N/A,,,,,,,
Michael Burton,RB,0.1,0.14,-0.18,0.39,0.24,0,#N/A,,,,,,,
Roosevelt Nix,RB,0.1,0.07,-0.05,0.25,0.15,0.13,#N/A,,,,,,,
Raheem Mostert,RB,0.1,0.14,-0.18,0.37,0.29,0,#N/A,,,,,,,
Marcus Murphy,RB,0.07,0.11,-0.14,0.28,0.16,0,#N/A,,,,,,,
Rod Smith,RB,0.04,0.08,-0.12,0.2,0.2,0,#N/A,,,,,,,
Dri Archer,RB,0.01,0.01,-0.02,0.03,0.03,0,#N/A,,,,,,,
Bishop Sankey,RB,0,0,0,0,,0,#N/A,,,,,,,
Juwan Thompson,RB,0,0,0,0,,0,#N/A,,,,,,,
George Winn,RB,0,0,0,0,,0,#N/A,,,,,,,
Andre Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Gus Johnson,RB,0,0,0,0,,0,#N/A,,,,,,,
Joey Iosefa,RB,0,0,0,0,,0,#N/A,,,,,,,
Kerwynn Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Joe Banyard,RB,0,0,0,0,,0,#N/A,,,,,,,
Dan Herron,RB,0,0,0,0,,0,#N/A,,,,,,,
Khiry Robinson,RB,0,0,0,0,,0,#N/A,,,,,,,
DuJuan Harris,RB,0,0,0,0,,0,#N/A,,,,,,,
Karlos Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Brandon Wegher,RB,0,0,0,0,,0,#N/A,,,,,,,
Stevan Ridley,RB,0,0,0,0,,0,#N/A,,,,,,,
Austin Johnson,RB,0,0,0,0,,0,#N/A,,,,,,,
Antone Smith,RB,0,0,0,0,,0,#N/A,,,,,,,
Tommy Bohanon,RB,0,0,0,0,,0,#N/A,,,,,,,
Chase Reynolds,RB,0,0,0,0,,0,#N/A,,,,,,,
David Cobb,RB,0,0,0,0,,0,#N/A,,,,,,,
Marshaun Coprich,RB,0,0,0,0,,0,#N/A,,,,,,,
Marcel Reece,RB,0,0,0,0,,0,#N/A,,,,,,,
Greg Olsen,TE,15.33,3.78,7.77,22.89,14.7,16.52,10.4173,,,,,,,
Travis Kelce,TE,12.62,3.66,5.3,19.94,11.87,13.6,9.2782,,,,,,,
Rob Gronkowski,TE,12.44,4.46,3.52,21.36,10.96,13.59,15.54325,,,,,,,
Delanie Walker,TE,11.97,3.58,4.8,19.14,11.37,12.21,15.54325,,,,,,,
Martellus Bennett,TE,11.03,1.78,7.46,14.59,10.88,10.83,15.54325,,,,,,,
Zach Miller,TE,10.79,2.63,5.53,16.05,10.53,10,9.84775,,,,,,,
Jason Witten,TE,10.75,5.24,0.27,21.23,9.74,9.72,12.6955,,,,,,,
Jimmy Graham,TE,10.61,3.86,2.9,18.33,9.96,9.84,14.9737,,,,,,,
Coby Fleener,TE,10.41,0.7,9.01,11.8,10.38,10.5,10.4173,,,,,,,
Zach Ertz,TE,10.32,2.4,5.51,15.13,10.03,10.4,10.4173,,,,,,,
Julius Thomas,TE,9.83,3.18,3.47,16.18,9.24,9.68,9.84775,,,,,,,
Antonio Gates,TE,9.43,3.91,1.6,17.25,8.64,9.07,10.4173,,,,,,,
Gary Barnidge,TE,9.38,4.62,0.13,18.63,7.71,8.84,15.54325,,,,,,,
Dennis Pitta,TE,9.28,4.81,-0.34,18.89,6.99,10.13,10.98685,,,,,,,
Charles Clay,TE,8.83,2.21,4.4,13.25,8.43,9.42,15.54325,,,,,,,
Clive Walford,TE,7.67,1.03,5.61,9.73,7.6,7.36,9.2782,,,,,,,
Jesse James,TE,7.57,2.06,3.45,11.68,7.15,8.39,15.54325,,,,,,,
Hunter Henry,TE,7.51,3.67,0.17,14.84,6.68,6.55,10.4173,,,,,,,
Dwayne Allen,TE,7.01,4.25,-1.5,15.52,7.12,7.5,7,,,,,,,
Jacob Tamme,TE,6.52,1.95,2.62,10.43,6.2,6.5,14.9737,,,,,,,
Virgil Green,TE,6.38,2.11,2.16,10.6,5.75,7.01,10.4173,,,,,,,
Will Tye,TE,5.99,1.41,3.17,8.82,5.85,5.87,10.98685,,,,,,,
Larry Donnell,TE,5.82,2.21,1.4,10.24,5.28,6.57,10.98685,,,,,,,
Lance Kendricks,TE,5.8,2.06,1.68,9.93,5.39,5.92,10.4173,,,,,,,
Vance McDonald,TE,5.23,1.8,1.63,8.83,4.86,5.73,15.54325,,,,,,,
Dion Sims,TE,5.1,1.86,1.37,8.82,4.76,4.5,15.54325,,,,,,,
Crockett Gillmore,TE,5.02,2.28,0.46,9.59,4.42,5.03,10.98685,,,,,,,
C.J. Uzomah,TE,4.83,3.29,-1.74,11.41,2.99,5.31,15.54325,,,,,,,
C.J. Fiedorowicz,TE,4.71,2.82,-0.93,10.35,3.65,4.58,7,,,,,,,
Jack Doyle,TE,4.71,1.31,2.09,7.32,4.45,5.15,7,,,,,,,
Vernon Davis,TE,4.6,2.66,-0.72,9.91,3.89,2.82,10.4173,,,,,,,
Brent Celek,TE,4.46,5.18,-5.9,14.81,1.79,2.62,#N/A,,,,,,,
Darren Fells,TE,4.33,2.3,-0.28,8.94,5,4.76,14.9737,,,,,,,
Jermaine Gresham,TE,3.99,2.06,-0.13,8.12,3.57,2.81,#N/A,,,,,,,
Austin Seferian-Jenkins,TE,3.92,1.63,0.65,7.19,3.63,3.29,#N/A,,,,,,,
Garrett Celek,TE,3.84,1.19,1.47,6.21,3.64,3.58,#N/A,,,,,,,
Ryan Griffin,TE,3.58,2.11,-0.65,7.8,3.44,4.36,7,,,,,,,
Mychal Rivera,TE,2.98,2.31,-1.63,7.59,2.37,2.2,#N/A,,,,,,,
Stephen Anderson,TE,2.94,1.65,-0.37,6.25,2.37,3.76,#N/A,,,,,,,
Trey Burton,TE,2.78,0.86,1.07,4.5,2.63,2.69,#N/A,,,,,,,
Marcedes Lewis,TE,2.78,1.65,-0.51,6.07,2.97,2.84,#N/A,,,,,,,
Xavier Grimble,TE,2.68,1.61,-0.54,5.9,2.21,2.3,#N/A,,,,,,,
Tyler Kroft,TE,2.63,2.41,-2.18,7.45,1.21,2,#N/A,,,,,,,
Luke Willson,TE,2.62,0.87,0.89,4.35,2.48,2.42,#N/A,,,,,,,
Austin Hooper,TE,2.57,0.77,1.03,4.11,2.4,3.02,#N/A,,,,,,,
Ed Dickson,TE,2.52,1.11,0.3,4.74,2.22,2.69,#N/A,,,,,,,
Niles Paul,TE,2.46,2.03,-1.6,6.51,1.13,2.03,#N/A,,,,,,,
Cole Wick,TE,2.29,2.05,-1.81,6.38,1.54,1.14,#N/A,,,,,,,
Josh Hill,TE,2.19,2.51,-2.83,7.21,1.04,1.19,#N/A,,,,,,,
Anthony Fasano,TE,2.04,2.57,-3.1,7.19,0.67,0.42,#N/A,,,,,,,
Tyler Higbee,TE,1.97,1.78,-1.58,5.53,1.16,1.12,#N/A,,,,,,,
Demetrius Harris,TE,1.84,1.06,-0.28,3.95,1.55,1.86,#N/A,,,,,,,
Geoff Swaim,TE,1.64,1.34,-1.03,4.31,1.25,1.02,#N/A,,,,,,,
John Phillips,TE,1.63,1.25,-0.88,4.14,1.08,1.76,#N/A,,,,,,,
Khari Lee,TE,1.37,1.69,-2.01,4.75,0.24,0.35,#N/A,,,,,,,
Levine Toilolo,TE,1.3,1.57,-1.84,4.45,0.69,0.6,#N/A,,,,,,,
Clay Harbor,TE,1.27,1.94,-2.62,5.16,2.59,0,#N/A,,,,,,,
Jeff Heuerman,TE,1.21,0.9,-0.59,3.01,0.85,0.85,#N/A,,,,,,,
Blake Bell,TE,0.97,0.74,-0.51,2.45,0.56,0.6,#N/A,,,,,,,
Gavin Escobar,TE,0.93,0.78,-0.63,2.48,0.4,0.73,#N/A,,,,,,,
Logan Paulsen,TE,0.89,1.19,-1.5,3.28,0.63,0.31,#N/A,,,,,,,
Jace Amaro,TE,0.88,0.83,-0.77,2.53,0.93,0.66,#N/A,,,,,,,
MarQueis Gray,TE,0.66,0.7,-0.74,2.05,0.3,0.38,#N/A,,,,,,,
Kellen Davis,TE,0.65,0.45,-0.24,1.54,0.31,0.6,#N/A,,,,,,,
David Johnson,TE,0.58,0.45,-0.32,1.49,0.4,0.63,14.6548806,,,,,,,
Andrew Quarless,TE,0.55,0.55,-0.55,1.65,1.1,0.55,#N/A,,,,,,,
Brandon Bostick,TE,0.52,0.44,-0.36,1.4,0.38,0.31,#N/A,,,,,,,
Nick Vannett,TE,0.47,0.34,-0.2,1.15,0.21,0.57,#N/A,,,,,,,
Randall Telfer,TE,0.47,0.55,-0.63,1.56,0.64,0.4,#N/A,,,,,,,
Phillip Supernaw,TE,0.4,0.42,-0.43,1.24,0.6,0.4,#N/A,,,,,,,
Nick OLeary,TE,0.39,0.31,-0.22,1.01,0.19,0.5,#N/A,,,,,,,
Jerell Adams,TE,0.28,0.3,-0.31,0.87,0.54,0.21,#N/A,,,,,,,
Cory Harkey,TE,0.28,0.17,-0.06,0.62,0.24,0.2,#N/A,,,,,,,
Ben Braunecker,TE,0.26,0.26,-0.27,0.78,0.5,0.21,#N/A,,,,,,,
Jim Dray,TE,0.18,0.3,-0.43,0.78,0.7,0,#N/A,,,,,,,
Brandon Williams,TE,0.16,0.17,-0.19,0.5,0.29,0.1,#N/A,,,,,,,
James OShaughnessy,TE,0.15,0.19,-0.23,0.53,0.36,0,#N/A,,,,,,,
Sean McGrath,TE,0.14,0.16,-0.19,0.46,0.24,0.08,#N/A,,,,,,,
Gerald Christian,TE,0.13,0.19,-0.24,0.51,0.4,0,#N/A,,,,,,,
Ifeanyi Momah,TE,0.12,0.22,-0.31,0.56,0.5,0,#N/A,,,,,,,
