QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Blake Bortles,Lamar Miller,Darren Sproles,Marqise Lee,Travis Benjamin,Corey Davis,Evan Engram,Kerwynn Williams,Bengals ,JAX,HOU,PHI,JAX,LAC,TEN,NYG,ARI,CIN,4400,5300,3900,3800,3500,4100,3200,4800,3900,99.79,Scenario1,15,75.48
Tyrod Taylor,Alvin Kamara,Rob Kelley,Paul Richardson,Tyler Lockett,Kendall Wright,Julius Thomas,Matt Forte,Eagles ,BUF,NO,WAS,SEA,SEA,CHI,MIA,NYJ,PHI,5300,3500,3900,4200,4000,3900,2800,4200,2900,96.97,Scenario1,16,85.7
Cam Newton,Giovani Bernard,Chris Thompson,Robert Woods,Taylor Gabriel,Dez Bryant,Coby Fleener,Kenny Stills,Chargers ,CAR,CIN,WAS,LAR,ATL,DAL,NO,MIA,LAC,6500,4000,3800,3400,4000,6600,3100,3900,2800,92.3,Scenario1,17,93.02
Carson Wentz,Javorius Allen,Jamaal Charles,Brandon LaFell,Kenny Britt,Tavon Austin,Antonio Gates,Donte Moncrief,Lions ,PHI,BAL,DEN,CIN,CLE,LAR,LAC,IND,DET,5900,4100,4200,3700,4000,3500,3000,4000,3300,88.61,Scenario1,18,96.02
Jared Goff,Mike Tolbert,Frank Gore,Jermaine Kearse,Zay Jones,Josh Bellamy,Jared Cook,Martellus Bennett,Redskins ,LAR,BUF,IND,NYJ,BUF,CHI,OAK,GB,WAS,5100,3800,4000,3900,3500,3000,3300,3900,2900,86.07,Scenario1,19,83.02
Marcus Mariota,Thomas Rawls,Marlon Mack,Cole Beasley,Eli Rogers,Devin Funchess,Jesse James,D'Onta Foreman,Bills ,TEN,SEA,IND,DAL,PIT,CAR,PIT,HOU,BUF,6400,4600,3800,4300,3600,3900,3200,4100,2700,80.79,Scenario1,20,63.3
Eli Manning,Jeremy Hill,Joe Mixon,Robby Anderson,Bennie Fowler,Breshad Perriman,Virgil Green,Chris Carson,Cowboys ,NYG,CIN,CIN,NYJ,DEN,BAL,DEN,SEA,DAL,5300,3900,5000,3400,3000,3100,2700,4100,2600,77.68,Scenario1,21,49.26
Trevor Siemian,Duke Johnson Jr.,Andre Ellington,Torrey Smith,Adam Humphries,Albert Wilson,George Kittle,Chris Johnson,Giants ,DEN,CLE,ARI,PHI,TB,KC,SF,ARI,NYG,4900,3900,4000,3600,3600,3300,2500,3000,3400,73.5,Scenario1,22,72.64
Andy Dalton,Matt Breida,Wendell Smallwood,Terrance Williams,Seth Roberts,Russell Shepard,Seth DeValve,Derrick Henry,Chiefs ,CIN,SF,PHI,DAL,OAK,CAR,CLE,TEN,KC,5500,3800,3800,3600,3400,3500,2500,5500,2900,69.13,Scenario1,23,56.84
DeShone Kizer,Branden Oliver,Paul Perkins,John Ross,Jaron Brown,Chris Conley,Jack Doyle,Rex Burkhead,Vikings ,CLE,LAC,NYG,CIN,ARI,KC,IND,NE,MIN,5100,4000,3800,3300,3200,3200,2900,3900,2700,64.45,Scenario1,24,65.48
