"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Sean McGrath",2500,"LAC@OAK 04:25PM ET",0.500,"LAC"
"TE","Clive Walford",2500,"LAC@OAK 04:25PM ET",0.520,"OAK"
"TE","Sean Culkin",2500,"LAC@OAK 04:25PM ET",0.000,"LAC"
"TE","Virgil Green",2500,"NYG@DEN 08:30PM ET",4.825,"DEN"
"TE","Jake Butt",2500,"NYG@DEN 08:30PM ET",0,"DEN"
"TE","Jeff Heuerman",2500,"NYG@DEN 08:30PM ET",1.375,"DEN"
"TE","Jerell Adams",2500,"NYG@DEN 08:30PM ET",1.380,"NYG"
"TE","Rhett Ellison",2500,"NYG@DEN 08:30PM ET",3.400,"NYG"
"TE","Matt LaCosse",2500,"NYG@DEN 08:30PM ET",0,"NYG"
"TE","Beau Brinkley",2500,"IND@TEN 08:30PM ET",0.000,"TEN"
"TE","Phillip Supernaw",2500,"IND@TEN 08:30PM ET",2.180,"TEN"
"TE","Brandon Williams",2500,"IND@TEN 08:30PM ET",2.720,"IND"
"TE","Darrell Daniels",2500,"IND@TEN 08:30PM ET",0.780,"IND"
"TE","Henry Krieger-Coble",2500,"IND@TEN 08:30PM ET",0.000,"IND"
"DST","Lions ",2400,"DET@NO 01:00PM ET",12.200,"DET"
"DST","Browns ",2300,"CLE@HOU 01:00PM ET",4.600,"CLE"
"DST","49ers ",2200,"SF@WAS 01:00PM ET",5.200,"SF"
"DST","Jets ",2100,"NE@NYJ 01:00PM ET",5.200,"NYJ"
"DST","Dolphins ",2000,"MIA@ATL 01:00PM ET",7.250,"MIA"
