"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
14.3,1,"1",7.23333333333333,2.66666666666667,0,0,10,36,0,17,2,0,0,20,96.25,288,1,3
19.8,0,"1",9,2.5,0,0.25,10.25,38.5,0,87,4,0,0,30.2,112,241.2,0.2,1.8
9.2,0,"1",11.625,2.75,0,0.25,10,42.5,0,8,2,0,0,11.5,92.5,164.75,0.5,2.25
7.2,1,"1",13.1,3,0,0.25,11.5,57.75,0,12,3,0,0,14.8,80,190.2,0.2,2.8
15.3,1,"1",16.75,4.75,0,0.25,15.5,59.5,0,26,6,0.25,0,27.2,116.2,224.4,0.4,3
22,0,"1",17.575,5.75,0,0.25,17,63,0,72,6,0.25,0,28.75,139.25,236.25,0.5,0.75
16.5,1,"1",20.3,7.25,0,0.25,19.25,62.25,0,14,3,0.25,0,22,129.5,281.25,1,4
23.4,0,"1",21.8,7.75,0,0.5,20.5,64.5,0,39,4,0.25,1,19.6,118.2,229.6,0.8,1.4
15.2,1,"1",22.12,7,0,0.4,20.6,70.6,0,19,5,0.2,0,27,126,248.6,1.2,2.6
10.6,1,"1",18.48,6.6,0,0.4,21,68.8,0,24,4,0,0,15.75,68,215.75,0.5,3.5
11.3,0,"1",17.54,5.6,0,0.4,21,63.8,0,39,5,0,0,20.4,101.4,177.8,1,1.2
7.4,0,"1",12.95,1.5,0,1,7.5,66,0,47,2,0,0,19,101.2,257,0.6,3.2
7.9,1,"1",9.85,1,0,0.5,2,35,0,28,3,0,0,28.6,100.4,313.4,0.2,2.8
17.8,0,"1",6.9,1.75,0,0.25,3,22.75,0,27,3,0,0,17.25,109,182.5,0.25,3.5
7.6,0,"1",6.85,2.75,0,0.25,3.75,21,0,22,3,0,0,23,163.75,235.25,0.25,2.25
15.7,0,"1",7.4,2.5,0,0,7.5,20.5,0,0,0,0,0,21.2,126.8,223.6,0.2,3
32.5,1,"1",10.1666666666667,1.66666666666667,0,0.333333333333333,11.3333333333333,46,0,26,3,0,0,17.4,106.8,237.4,0.2,2.4
27.7,1,"1",24.56,3.6,0,0.8,19.4,112.8,0.6,26,6,0,0,14.25,82.5,239.5,0.5,2.25
34.7,0,"1",21.975,4.75,0,0.75,15.75,83.75,0.5,65,9,0,0,19.25,112.25,251.25,0.5,1.25
38.7,1,"1",26,5.75,0,1,15.25,82.75,0.5,70,4,0,0,22.6,81,172.2,0.2,3.8
13,0,"1",26.45,6.25,0,1.25,17.75,81.25,0.5,4,1,0,0,28.75,138.25,230.5,0,1.5
31.3,0,"1",28.525,5.75,0,1.5,18.75,89,0.5,59,6,0,0,17.25,103.75,195.25,1,2
33.8,1,"1",29.425,6,0,1.5,19.75,92.25,0.5,75,9,0,0,25,113.5,300.25,0.5,1.5
24.9,0,"1",30.3,7,0,1.2,21.8,102.4,0.6,26,2,0,1,25,91.25,227.75,0.5,2.25
19.5,1,"1",28.34,6,0,1.2,23.2,98.6,0.4,25,4,0,0,14.4,82.4,212.8,0,2
12.1,0,"1",24.5,6.2,0,0.8,21.8,93.2,0.2,46,6,0,0,23,148,252.6,0,1.6
23.5,0,"1",24.32,7.2,0,0.6,21,85,0.2,44,4,0,0,32.6,188.8,223.8,0.6,1
36,1,"1",22.76,6.8,0,0.4,20.4,86.4,0.2,10,2,0,0,23,116.6,221,0.2,1.2
16.1,0,"1",20.3333333333333,4.66666666666667,0,0.333333333333333,20.6666666666667,85.3333333333333,0.33,52,6,0.33,0,14.25,72.5,212,2,2.75
52.4,0,"1",19.275,6.25,0,0.25,19.25,76.25,0.25,119,5,0.25,1,19.5,90.5,236.25,0.5,2.25
22.4,1,"1",30.875,7,0,0.75,23,96.75,0.5,12,1,0.5,0,18.6,116.8,188.6,0.2,2.2
29,1,"1",29.18,6.4,0,0.8,25,99.8,0.6,26,5,0.4,0,19.5,126,161,0.5,1.5
37.6,0,"1",29.26,6.8,0,0.8,22.8,93.6,0.6,102,4,0.4,1,29.75,165.25,266,0.5,0.5
