"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
23.74,0,"1",18.9,1.2,1.8,33.8,269,22.2,0.4,2,0.2,0,27.8,146.4,280.6,0.6,2.6
15.56,1,"1",15.89,1.75,1.75,37,241,22.75,0.25,5,0.25,0,18.75,114,198.25,0.75,3
23.76,1,"1",14.215,1.75,1.5,39.75,254.75,24.25,0.25,0,0.25,0,20.2,119.4,272.6,1.4,3.4
24.5,0,"1",17.29,1.25,2.25,36.5,246,23,0.25,2,0.25,0,27.75,126.5,224.25,0.75,0.75
20.9,1,"1",17.48,0.5,2,32.25,208.25,19.75,0,2,0,0,34.8,135,231.8,0.8,1.4
14.94,0,"1",21.18,0.25,2.5,32.75,234.5,20.25,0,1,0,0,20,118.4,213.4,0.8,2.4
10.24,1,"1",19.932,0.6,2.2,33.8,229.8,21.2,0,5,0,0,26.6,132,267,0.6,2.4
14.88,0,"1",18.868,0.6,2.2,32,211.2,20,0,6,0,0,31.6,129.6,229.2,0,2.2
7.12,0,"1",17.092,0.6,1.6,31.4,196.8,18.4,0,6,0.4,0,22.8,91.8,197.6,0.4,2.2
7.52,1,"1",13.616,1,1.2,33.8,206.4,19.6,0,2,0.4,0,23,118.6,202.6,0.4,3.2
28.18,0,"1",12.38,1,1,35,243,22.8,0,3,0.4,0,26,117.6,261.4,0.4,3.4
30.48,0,"1",14.92,0.8,1.2,36.4,254,22.8,0.2,1,0.4,0,23.2,130,277,0.4,1.8
34,1,"1",17.776,0.8,1.6,34.2,272.4,22.6,0.4,1,0.4,0,26.4,85.8,242.2,0.2,4
10.72,0,"1",21.636,0.8,2.2,34.6,290.4,22.4,0.6,5,0.2,0,28.5,114.75,231.5,0.5,2.75
15.16,0,"1",22.472,1.2,2.2,36.8,316.8,24.2,0.8,5,0.2,0,21.25,95.5,239.25,0.75,3.75
11.72,1,"1",23.708,1.6,2.6,41.6,329.2,25,0.8,0,0.2,0,25.75,104.75,229.75,0.25,3.25
10.5,0,"1",17.9,2.25,2.5,40.25,257.5,22,0.5,0,0.25,0,29,129.75,281,0.5,2.25
30.1,1,"-1",12.025,2.25,1.5,38.5,223.75,20.75,0.25,0,0.25,0,28.6,137.8,253,0.6,1.8
21.2,0,"1",16.87,1.5,2.25,34,208,18.75,0,1,0,0,20.8,104,240.8,1,3
34.52,1,"1",18.38,0.75,2.25,32.25,197,19,0,2,0,0,29.2,120.8,299.4,0.2,2.6
19.54,1,"1",24.08,0.25,2.5,35,264.5,22.5,0.25,0,0,0,21.2,109.8,205.6,0.4,1.2
22.42,1,"1",16.91,0.25,1,27,231.5,17.5,0.25,1,0,0,24,130.8,238.8,1,2.4
21.04,1,"1",14.77,0.75,1,32,205.5,20.25,0.25,2,0,0,15,86.4,260,0.8,2.8
14.42,1,"1",16.565,0.75,1,33.25,229.75,21.75,0.25,2,0.25,0,19.8,90.4,244.2,0.6,3
22,0,"1",12.232,1.6,0.8,34.6,206.8,20.2,0.2,1,0.2,0,21,101.25,248.75,0.75,3.75
11.72,0,"1",12.148,1.2,1,30.4,186.2,16.8,0,0,0.2,0,21,93.5,288,1,2.75
11.74,0,"1",13.484,1.4,1.2,29.8,207.6,18,0,2,0.2,0,19.2,101.2,201.2,0.4,2.8
30.28,1,"1",11.624,1.8,1.4,29.6,189.6,17.6,0,3,0,0,25.5,102.75,226.75,0.25,2.25
14.34,1,"1",15.744,1,1.4,27.4,209.6,18.8,0.2,0,0.2,0,20.2,80.6,221,0.6,2.8
14.56,0,"1",14.212,1.2,1.2,28,194.8,19,0.2,3,0.2,0,22,91.75,292.5,0.75,2.5
21.52,0,"1",25.244,0.4,2.2,32,303.6,21.6,0.6,0,0.2,0,21,83.6,274,0.6,1.8
9.64,0,"1",26.83,0.5,2.25,33.25,319.5,22.25,0.75,3,0.25,0,17,102,271.8,0.6,2.4
21.86,1,"1",20.66,0.75,1.75,34.75,281.5,23,0.5,2,0,0,28.8,141.2,271,0.8,1.2
8.88,1,"1",20.765,0.75,2.25,35.5,259.75,24,0.25,3,0,0,24.25,133.25,226,0.75,3.5
26,0,"1",15.475,0.75,1.75,34,226.25,22,0,4,0,0,23.75,87.75,208.25,0.5,1.75
