"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
7.9,1,"1",17.575,8.5,0,0,0,0,49,3,0.25,0,28.6,189.6,195.2,0.6,2.2
11.7,0,"1",16.7,8.25,0,0,0,0,67,5,0.25,0,27,111.6,187.8,1.4,3.2
14.8,1,"1",10.525,7.25,0,0,0,0,78,7,0,0,16.2,98.4,234,0.8,3.4
7.1,0,"1",11.38,7.4,0,0,0,0,41,3,0,0,27,137.75,205.25,0.5,3.25
33.8,1,"1",10.4,6.4,0,0,0,0,118,7,0,2,23.75,153.5,253,0.5,1.5
27.7,0,"1",15.06,6.6,0,0,0,0,167,8,0.2,0,25,144.75,212.75,0,2.75
14.4,0,"1",19.02,7.2,0,0,0,0,44,4,0.4,1,15.4,100.4,210,0.4,2.6
13.3,1,"1",19.56,6.6,0,0,0,0,33,4,0.4,1,16.4,92.4,157,0.4,2
16.4,0,"1",19.26,6.6,0,0,0,0,74,3,0.4,1,18.4,86.6,253.8,0.2,1.4
8.2,1,"1",21.12,6.8,0,0,0,0,12,1,0.4,1,27,95,277.2,0,2.8
15,1,"1",21.88,7.4,0,0,0,0,50,4,0.4,1,23,116.5,255.75,0,2.25
26.3,1,"1",20.34,7,0,0,0,0,123,5,0.4,1,17,88.4,288.4,0.8,3.4
8.6,0,"1",20.65,6,0,0,0,0,46,4,0.5,0,22.75,137.75,209.25,0.75,2.5
19.3,1,"1",17.45,5.5,0,0,0,0,73,6,0.5,1,22.75,126.25,217.25,0.5,4
11.3,0,"1",16.4,7,0,0,0,0,73,4,0,0,15.25,126.75,223,0,1.25
23.6,1,"-1",13.85,7,0,0,0,0,96,8,0,1,16.75,140.25,234.25,0.25,1.75
10.4,1,"1",17.1,8.33333333333333,0,0,0,0,54,5,0,0,25.75,144.5,220,0.25,1.75
16.3,0,"1",15.425,7.75,0,0,0,0,63,4,0,1,16.25,71,251.75,0.75,2.25
16.9,1,"1",15.6,7,0,0,0,0,49,6,0,1,21.4,106.4,222.2,0.4,3
13,0,"1",15.7,7.6,0,0,0,0,70,6,0,0,15.25,121.5,160.75,1,2.25
25.8,1,"1",16.04,7.6,0,0,0,0,68,7,0,2,31.4,144.6,189.8,0.4,0.6
8,0,"1",15.42,6.4,0,0,0,0,40,4,0,0,29.6,139,281.4,0.8,2.4
24.6,0,"1",13.76,6.8,0,0,0,0,106,5,0,1,28.2,143.8,262.4,0.2,2.2
26.1,1,"1",6.825,6.25,0,0,0,0,81,6,0,2,22.8,122.2,215,0.4,2.8
13.3,1,"1",10.825,6,0,0,0,0,43,3,0,1,27.5,131.75,220.25,0.5,2
15.7,0,"1",11.925,6,0,0,0,0,57,4,0,1,23.5,80.75,297,0.5,1.25
10.9,1,"1",7.88,3.6,0,0,0,0,49,6,0,0,15,103.25,192.5,1,2.75
13.1,1,"1",7.94,5.4,0,0,0,0,31,4,0,1,26.4,126.6,232.4,1.2,1.2
12.4,0,"1",7.42,5.6,0,0,0,0,44,2,0,1,18.4,128.6,168.2,0.6,2
9.5,1,"1",9.16,5.4,0,0,0,0,15,2,0,1,19.4,125,220.6,0.2,2.4
9.1,0,"1",18.54,9,0,0,0,0,31,6,0.4,0,34,161,244.6,0.8,1.8
11.3,0,"1",15.725,8.5,0,0,0,0,53,6,0.25,0,32.75,102.25,229.25,0.5,3
10.2,1,"1",10.4,8.5,0,0,0,0,62,4,0,0,31.75,120.75,191.25,0.5,2
15.2,0,"1",9.35,8,0,0,0,0,52,4,0,1,23,140.25,176,0.25,3.5
8.1,1,"1",10.45,8,0,0,0,0,41,5,0,0,17.75,109.25,166.75,0.75,4
9,1,"1",9.98,8.2,0,0,0,0,50,4,0,0,18.5,103,212.25,0.5,3.25
7.2,1,"1",8.34,6.4,0,0,0,0,42,3,0,0,34,114.6,267.8,0.6,1.8
13.1,1,"1",6.74,5.8,0,0,0,0,31,4,0,1,28,115.6,309,0.6,1.6
11.7,0,"1",15.7,5.8,0,0,0,0,27,3,0,1,25.75,162.75,207,0.75,1
15.1,1,"1",15.22,5.4,0,0,0,0,61,3,0,1,18.75,120.75,207.25,0.25,2.75
22.4,0,"1",11.32,5,0,0,0,0,54,5,0,2,20,65.25,213.5,0.25,4
15.3,0,"1",9.45,4.5,0,0,0,0,83,7,0,0,26,90.25,275.5,0.75,3.5
8.4,1,"1",7.675,4.5,0,0,0,0,34,5,0,0,19,73.25,331,0,1.75
17.4,1,"1",8.325,5.25,0,0,0,0,54,6,0,1,21.6,75.4,213,0.8,2.8
28.2,0,"1",10.14,5.6,0,0,0,0,92,7,0,2,16.6,119.8,189.4,0.2,3.4
