Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
44,853491948,davidbelan22,0,127.54,QB Deshaun Watson WR DeAndre Hopkins WR Will Fuller V DST Bills  FLEX Delanie Walker RB Doug Martin WR Mike Evans RB Todd Gurley II TE O.J. Howard,,Cardinals ,5.83%,2
45,851669885,Derdy13,0,127.36,DST Chargers  WR Jordy Nelson WR Dez Bryant TE Dwayne Allen RB Jay Ajayi WR Mike Evans RB Melvin Gordon QB Jameis Winston FLEX Wayne Gallman,,Lions ,5.83%,3
46,851145670,NeverWorking,0,126.64,WR DeAndre Hopkins DST Colts  QB Aaron Rodgers FLEX Delanie Walker WR Jordy Nelson TE Austin Seferian-Jenkins WR Sterling Shepard RB Duke Johnson Jr. RB Aaron Jones,,Latavius Murray,4.85%,6.3
47,852441941,sorpassa4,0,125.86,WR Will Fuller V FLEX Adam Thielen DST Ravens  WR Jordy Nelson RB Bilal Powell TE Cameron Brate WR Mike Evans QB Jameis Winston RB Duke Johnson Jr.,,Christian McCaffrey,4.85%,14.8
48,853624399,ragepaladin,0,125.76,DST Eagles  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell TE Cameron Brate WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott FLEX Evan Engram,,Dolphins ,4.85%,20
49,852297466,warrenzevon,0,125.36,DST Ravens  QB Josh McCown FLEX Jordy Nelson WR Dez Bryant RB LeSean McCoy WR T.Y. Hilton TE Austin Seferian-Jenkins WR Sammy Watkins RB Christian McCaffrey,,Jeremy Maclin,4.85%,10.3
49,852291797,redcivicex,0,125.36,DST Bills  WR Danny Amendola WR Dez Bryant TE Cameron Brate RB James White WR Mike Evans QB Jameis Winston RB Duke Johnson Jr. FLEX Todd Gurley II,,Doug Martin,3.88%,15.2
51,853406213,ccshrts,0,125.06,DST Jets  WR Dez Bryant WR Jaron Brown RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Ezekiel Elliott,,Jay Ajayi,3.88%,8.9
52,853208928,SemperFri,0,124.56,WR Stefon Diggs DST Bills  RB Frank Gore WR T.Y. Hilton TE Cameron Brate WR Mike Evans FLEX Brandin Cooks QB Jameis Winston RB Wayne Gallman,,Jesse James,3.88%,5.4
53,852336986,LK28,0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Zach Miller,3.88%,12.9
54,853572129,paz3209,0,122.26,DST Chiefs  WR Stefon Diggs WR Danny Amendola TE Jared Cook RB Andre Ellington WR Jaron Brown FLEX T.Y. Hilton RB Le'Veon Bell QB Jameis Winston,,Carlos Hyde,3.88%,2.8
55,852121729,SleepyW,0,122.06,FLEX Lamar Miller DST Chiefs  RB DeMarco Murray WR Jeremy Maclin RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston,,Kareem Hunt,3.88%,17.6
56,852969245,GaryMBrown,0,121.82,WR Will Fuller V DST Steelers  QB Tom Brady TE Charles Clay WR Jaron Brown WR Chris Hogan FLEX Brandin Cooks RB Duke Johnson Jr. RB Christian McCaffrey,,Brandin Cooks,3.88%,13.5
57,851804961,jgriz003,0,121.76,TE Zach Miller DST Dolphins  WR Brandon Marshall WR Torrey Smith RB Le'Veon Bell RB James White WR Mike Evans QB Jameis Winston FLEX Todd Gurley II,,Marshawn Lynch,3.88%,12.3
57,853384587,juanp15,0,121.76,WR Stefon Diggs DST Jets  FLEX Delanie Walker WR Larry Fitzgerald RB Marshawn Lynch WR Golden Tate TE Cameron Brate QB Jameis Winston RB Leonard Fournette,,Sterling Shepard,2.91%,1.9
59,853358835,hpjj,0,121.36,DST Eagles  WR Dez Bryant TE Dwayne Allen WR T.Y. Hilton RB Le'Veon Bell FLEX Robert Woods RB Ameer Abdullah WR Mike Evans QB Jameis Winston,,Aaron Jones,2.91%,23.4
60,851748229,eys819,0,121.06,TE Zach Miller DST Ravens  WR Danny Amendola FLEX Randall Cobb RB Le'Veon Bell WR Mike Evans WR Adam Humphries QB Jameis Winston RB Christian McCaffrey,,Randall Cobb,2.91%,6.9
