Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
11,853288301,0_2_60mph,0,142.16,DST Cardinals  WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Melvin Gordon,26.32%,37.3
11,853505670,0_for_5,0,142.16,DST Cardinals  WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Ezekiel Elliott,24.56%,17.2
11,853660230,a_17,0,142.16,DST Cardinals  WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Danny Amendola,24.56%,15.7
14,853640888,berns422,0,137.34,DST Ravens  RB Frank Gore WR Pierre Garcon RB Le'Veon Bell TE Cameron Brate WR Chris Hogan QB Dak Prescott WR DeVante Parker FLEX Thomas Rawls,,Jarvis Landry,19.30%,15.4
15,853490698,Lewy_v2,0,135.86,DST Ravens  FLEX Danny Amendola WR DeSean Jackson TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Dwayne Allen,19.30%,0
16,853755256,PetrGibbons,0,135.66,FLEX Lamar Miller TE Zach Miller DST Dolphins  RB Bilal Powell WR T.Y. Hilton RB Le'Veon Bell WR Mike Evans WR Donte Moncrief QB Jameis Winston,,Bills ,17.54%,8
17,853357385,MakeItRain84,0,132.46,DST Cardinals  RB Le'Veon Bell RB James White WR Chris Hogan WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston TE Evan Engram,,T.Y. Hilton,15.79%,27.7
18,853730033,Superstars92,0,132.26,RB Latavius Murray DST Bills  WR Dez Bryant FLEX Carlos Hyde WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Cameron Brate,15.79%,17.8
19,853330363,bards22,0,131.46,DST Bills  WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen WR T.Y. Hilton RB Le'Veon Bell WR Mike Evans QB Jameis Winston RB Wayne Gallman,,Evan Engram,14.04%,0
19,853620483,tguse01,0,131.46,DST Bills  WR Jordy Nelson WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott RB Leonard Fournette,,Cardinals ,10.53%,2
21,853458347,RockChalk_09,0,131.42,DST 49ers  QB Tom Brady FLEX Danny Amendola WR Terrance Williams RB Le'Veon Bell TE Cameron Brate WR Chris Hogan WR Jarvis Landry RB Christian McCaffrey,,Jordy Nelson,10.53%,10.4
22,853439643,Vargas2015,0,131.06,TE Zach Miller DST Cardinals  WR Danny Amendola RB Bilal Powell RB Le'Veon Bell WR Mike Evans WR Adam Humphries QB Jameis Winston FLEX Leonard Fournette,,Jaron Brown,10.53%,6.9
23,853691279,DFWBEATDOWN,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola FLEX Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Carlos Hyde,8.77%,2.8
23,853652830,BirdsNest12,0,129.16,WR Will Fuller V RB Jordan Howard WR Stefon Diggs DST Eagles  FLEX Doug Martin TE Cameron Brate QB Jameis Winston WR Devin Funchess RB Ezekiel Elliott,,Dolphins ,8.77%,20
25,853696129,belski897,0,128.12,WR Will Fuller V TE Travis Kelce QB Mitchell Trubisky DST Browns  RB Frank Gore FLEX Charles Clay WR Antonio Brown WR Chris Hogan RB Todd Gurley II,,Frank Gore,8.77%,11.6
26,853757555,TigerShark76,0,127.76,DST Bills  WR Danny Amendola RB DeMarco Murray WR Jaron Brown RB Le'Veon Bell WR Mike Evans QB Jameis Winston FLEX Aaron Jones TE Hunter Henry,,DeSean Jackson,8.77%,18.6
27,853413186,3rd_and_schlong,0,127.56,DST Eagles  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell TE Cameron Brate RB James White WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Larry Fitzgerald,7.02%,11.1
28,853424830,ragepaladin,0,125.76,DST Eagles  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell TE Cameron Brate WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott FLEX Evan Engram,,Doug Martin,7.02%,15.2
29,853399255,rex21023,0,124.66,DST Eagles  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Lamar Miller,7.02%,10.9
30,853479284,Cicima6709,0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Bilal Powell,7.02%,7.3
31,853651904,JumpmanTriz,0,123.8,DST Steelers  QB Eli Manning WR DeSean Jackson RB LeGarrette Blount WR Chris Hogan FLEX Melvin Gordon WR Sterling Shepard RB Ezekiel Elliott TE Evan Engram,,Tom Brady,7.02%,17.62
32,853540731,GoodChi,0,123.56,DST Bills  RB Frank Gore WR T.Y. Hilton RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II TE Evan Engram,,Ravens ,7.02%,12
33,853258433,joes012350,0,123.54,QB Deshaun Watson RB Jordan Howard WR Stefon Diggs DST Lions  WR Larry Fitzgerald RB Doug Martin WR Antonio Brown TE Tyler Kroft FLEX Hunter Henry,,Jordan Howard,5.26%,7.6
34,853673692,The_Crawfish,0,122.46,DST Chargers  WR Jordy Nelson WR Danny Amendola TE Martellus Bennett FLEX Dez Bryant RB Le'Veon Bell RB James White WR Adam Humphries QB Jameis Winston,,Stefon Diggs,5.26%,1.4
35,853685498,dictator_teddy,0,122.16,DST Dolphins  WR Dez Bryant WR Jaron Brown TE Dwayne Allen RB James White WR Chris Hogan QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Antonio Brown,5.26%,28.7
36,853468898,aaronstatefarm,0,119.56,DST Bills  WR Dez Bryant RB Bilal Powell FLEX T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Ameer Abdullah,5.26%,4.4
37,853750244,Surfwolfe,0,117.72,WR Will Fuller V DST Raiders  QB Tom Brady RB Bilal Powell TE Cameron Brate WR Jarvis Landry WR Brandin Cooks RB Joe Mixon FLEX Christian McCaffrey,,Zach Miller,5.26%,12.9
38,853719594,Bmiller45,0,117.06,DST Chiefs  WR DeSean Jackson WR Jaron Brown RB Le'Veon Bell WR Brandin Cooks QB Jameis Winston RB Todd Gurley II TE George Kittle FLEX Evan Engram,,Christian McCaffrey,5.26%,14.8
39,853605541,Vada601,0,115,DST Buccaneers  TE Jason Witten WR Jordy Nelson QB Eli Manning FLEX Larry Fitzgerald RB Marshawn Lynch RB Andre Ellington WR Chris Hogan WR Martavis Bryant,,Raiders ,5.26%,0
40,853659913,swalsh1299,0,114.46,DST Jets  RB Frank Gore WR Jordy Nelson WR Golden Tate RB James White FLEX Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston,,Will Fuller V,5.26%,20.2
41,853315929,Makisupa,0,113.76,DST Jets  WR Dez Bryant TE Dwayne Allen WR Chris Hogan FLEX Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Brandin Cooks,5.26%,13.5
42,853772789,TeeJayOrTj,0,113.36,FLEX Lamar Miller DST Eagles  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Aldrick Robinson,3.51%,1.5
43,853664939,STR8_CASH_HOMIES,0,112.86,DST Cardinals  WR Golden Tate RB Le'Veon Bell TE Cameron Brate RB James White WR Jarvis Landry WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Hunter Henry,3.51%,13.2
44,853686569,dtsports,0,112.56,DST Eagles  WR T.Y. Hilton WR Kenny Stills RB Le'Veon Bell RB Carlos Hyde TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Jets ,3.51%,8
45,853735156,madoublet98,0,112.16,DST Raiders  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX Ameer Abdullah WR Mike Evans RB Melvin Gordon WR Robby Anderson QB Jameis Winston,,Wayne Gallman,3.51%,13.2
46,853467688,ehall7995,0,111.36,DST Ravens  WR Jordy Nelson RB Doug Martin WR Dez Bryant TE Charles Clay RB Eddie Lacy WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr.,,LeGarrette Blount,3.51%,7.4
47,853207674,Howie_Pheltersnatch,0,110.66,DST Eagles  WR Aldrick Robinson RB Le'Veon Bell FLEX Carlos Hyde WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Pierre Garcon,3.51%,17.4
48,853351148,moklovin,0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Isaiah Crowell,3.51%,8.7
49,853386230,JL003,0,108.06,DST Chiefs  WR Danny Amendola WR Jeremy Maclin TE Dwayne Allen RB Le'Veon Bell WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II RB Ezekiel Elliott,,Chiefs ,3.51%,10
50,853781291,bonechucker,0,105.22,TE Ryan Griffin WR Adam Thielen DST Bills  QB Tom Brady WR Jordy Nelson WR Chris Hogan FLEX Brandin Cooks RB Austin Ekeler RB Christian McCaffrey,,Jeremy Maclin,3.51%,10.3
51,853254020,rikkidee,0,100.66,DST Eagles  TE Dwayne Allen RB Le'Veon Bell WR TJ Jones WR Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Leonard Fournette,3.51%,34.4
52,853460667,PoisonRatt,0,99.38,DST Bills  FLEX Frank Gore WR Larry Fitzgerald QB Ben Roethlisberger WR Antonio Brown RB Mike Gillislee RB Carlos Hyde WR Chris Hogan TE O.J. Howard,,Charles Clay,3.51%,5.1
53,853587610,XTRack34X,0,96.75999,TE Zach Miller DST Bills  WR Larry Fitzgerald WR Aldrick Robinson FLEX Le'Veon Bell WR Mike Evans RB J.D. McKissic QB Jameis Winston RB Todd Gurley II,,Duke Johnson Jr.,3.51%,17.3
54,853434941,showrunna,0,94.86,DST Eagles  WR Danny Amendola TE Dwayne Allen RB Le'Veon Bell FLEX Ameer Abdullah WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Andre Ellington,3.51%,15.3
55,853564847,charder30,0,93.36,DST Eagles  WR Jaron Brown RB Carlos Hyde WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II FLEX Evan Engram,,Eli Manning,3.51%,15
56,853644487,ricky0321,0,93.34,DST Raiders  QB Aaron Rodgers WR Kenny Stills RB Le'Veon Bell TE Austin Seferian-Jenkins WR Marqise Lee FLEX Isaiah Crowell RB Ezekiel Elliott WR Geronimo Allison,,Browns ,3.51%,6
57,853617137,Kylecunn,0,84.35999,WR Stefon Diggs DST Browns  TE Delanie Walker RB Mike Tolbert WR Alshon Jeffery RB Jay Ajayi QB Carson Wentz FLEX Ezekiel Elliott WR Trent Taylor,,Kenny Stills,3.51%,2.3
,,,,,,,Chargers ,3.51%,10
,,,,,,,Golden Tate,3.51%,9.8
,,,,,,,Adam Thielen,3.51%,9.5
,,,,,,,TJ Jones,1.75%,3.2
,,,,,,,Deshaun Watson,1.75%,35.54
,,,,,,,Lions ,1.75%,3
,,,,,,,Tyler Kroft,1.75%,7.8
,,,,,,,49ers ,1.75%,6
,,,,,,,Terrance Williams,1.75%,3.4
,,,,,,,Ben Roethlisberger,1.75%,10.58
,,,,,,,Mike Gillislee,1.75%,5.2
,,,,,,,O.J. Howard,1.75%,0
,,,,,,,Eddie Lacy,1.75%,3.8
,,,,,,,J.D. McKissic,1.75%,6.6
,,,,,,,Buccaneers ,1.75%,8
,,,,,,,Jason Witten,1.75%,13.1
,,,,,,,Marshawn Lynch,1.75%,12.3
,,,,,,,Martavis Bryant,1.75%,8.4
,,,,,,,Delanie Walker,1.75%,5.5
,,,,,,,Mike Tolbert,1.75%,6.4
,,,,,,,Alshon Jeffery,1.75%,6.1
,,,,,,,Jay Ajayi,1.75%,8.9
,,,,,,,Carson Wentz,1.75%,31.26
,,,,,,,Trent Taylor,1.75%,1.6
,,,,,,,Dak Prescott,1.75%,30.74
,,,,,,,DeVante Parker,1.75%,1.6
,,,,,,,Thomas Rawls,1.75%,5.5
,,,,,,,Aaron Rodgers,1.75%,24.04
,,,,,,,Marqise Lee,1.75%,6.9
,,,,,,,Geronimo Allison,1.75%,0
,,,,,,,Steelers ,1.75%,5
,,,,,,,Sterling Shepard,1.75%,1.9
,,,,,,,Devin Funchess,1.75%,18.3
,,,,,,,Kyle Rudolph,1.75%,16.5
,,,,,,,Panthers ,1.75%,8
,,,,,,,Martellus Bennett,1.75%,8.3
,,,,,,,Travis Kelce,1.75%,17.8
,,,,,,,Mitchell Trubisky,1.75%,11.32
,,,,,,,George Kittle,1.75%,21.3
,,,,,,,Latavius Murray,1.75%,6.3
,,,,,,,Robby Anderson,1.75%,3.6
,,,,,,,Joe Mixon,1.75%,11.1
,,,,,,,Donte Moncrief,1.75%,6.2
,,,,,,,DeMarco Murray,1.75%,9.9
,,,,,,,Aaron Jones,1.75%,23.4
,,,,,,,Ryan Griffin,1.75%,4.2
,,,,,,,Austin Ekeler,1.75%,5.8
,,,,,,,DeAndre Hopkins,1.75%,27.2
