Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
50,851850323,dictator_teddy (2/3),0,122.16,DST Dolphins  WR Dez Bryant WR Jaron Brown TE Dwayne Allen RB James White WR Chris Hogan QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Cowboys ,2.91%,5
50,851850324,dictator_teddy (3/3),0,122.16,DST Dolphins  WR Dez Bryant WR Jaron Brown TE Dwayne Allen RB James White WR Chris Hogan QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Jay Ajayi,2.91%,8.9
53,853321285,toddbrosh,0,122.06,WR DeAndre Hopkins RB Kareem Hunt DST Cowboys  RB Frank Gore WR Doug Baldwin WR Randall Cobb TE Eric Ebron QB Carson Wentz FLEX Wayne Gallman,,TJ Jones,2.91%,3.2
54,854236330,Gorilla900,0,121.52,FLEX Jordan Howard DST Eagles  QB Tom Brady TE Delanie Walker WR Dez Bryant WR Torrey Smith RB Le'Veon Bell WR Donte Moncrief RB Aaron Jones,,DeVante Parker,2.91%,1.6
55,853993575,bric75,0,120.76,TE Zach Miller DST Eagles  RB Frank Gore WR Jeremy Maclin RB Le'Veon Bell WR Mike Evans WR Adam Humphries QB Jameis Winston FLEX Ezekiel Elliott,,Tyreek Hill,2.91%,16.8
56,851950426,EmpireMaker2,0,118.66,FLEX Lamar Miller DST Bills  WR DeSean Jackson TE Austin Seferian-Jenkins WR Adam Humphries WR Brandin Cooks QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Jesse James,2.91%,5.4
57,853894604,ginm8,0,118.34,WR Stefon Diggs DST Bills  QB Aaron Rodgers WR Danny Amendola FLEX LeGarrette Blount RB Le'Veon Bell TE Cameron Brate RB Duke Johnson Jr. WR Cooper Kupp,,Delanie Walker,2.91%,5.5
58,853597935,JC129,0,118.06,RB Kareem Hunt DST Cardinals  WR Danny Amendola WR DeSean Jackson RB Andre Ellington WR Chris Hogan QB Jameis Winston FLEX Todd Gurley II TE Evan Engram,,Alshon Jeffery,2.91%,6.1
59,852865269,eyeman801,0,117.96,DST Bills  WR Danny Amendola RB Carlos Hyde TE Cameron Brate WR Chris Hogan FLEX Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II,,DeAndre Hopkins,2.91%,27.2
60,853239756,gleas4,0,117.92,DST Chiefs  QB Tom Brady FLEX Frank Gore WR Jeremy Maclin TE Zach Ertz RB Le'Veon Bell WR Jarvis Landry WR Marqise Lee RB Isaiah Crowell,,Carson Wentz,2.91%,31.26
60,853557281,mikebowls,0,117.92,RB Lamar Miller WR DeAndre Hopkins DST Ravens  QB Tom Brady FLEX Rob Gronkowski TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries RB Duke Johnson Jr.,,Jordy Nelson,2.91%,10.4
62,851634843,BirdWings,0,117.26,DST Eagles  WR DeSean Jackson WR Dez Bryant RB LeGarrette Blount WR Terrance Williams FLEX Le'Veon Bell TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II,,Antonio Brown,2.91%,28.7
63,852177460,awaugh001,0,116.66,DST Ravens  WR Jaron Brown WR Randall Cobb TE Cameron Brate WR Brandin Cooks QB Jameis Winston FLEX Duke Johnson Jr. RB Todd Gurley II RB Christian McCaffrey,,Andre Ellington,2.91%,15.3
64,853255309,cheetoes,0,116.46,DST Lions  FLEX Jaron Brown RB Le'Veon Bell WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Terrance Williams,1.94%,3.4
65,854235616,wolfgray,0,116.16,WR Will Fuller V WR Stefon Diggs DST Colts  FLEX Doug Martin RB LeSean McCoy RB Bilal Powell WR Alshon Jeffery TE Cameron Brate QB Carson Wentz,,Kenny Stills,1.94%,2.3
66,852455452,danielpoupart,0,116.06,DST Ravens  WR Danny Amendola FLEX Rob Gronkowski WR Randall Cobb RB Le'Veon Bell TE Cameron Brate WR Adam Humphries QB Jameis Winston RB Christian McCaffrey,,Latavius Murray,1.94%,6.3
67,853988223,AJinOK,0,115.86,RB Kareem Hunt DST Bills  WR Dez Bryant RB Le'Veon Bell WR Jarvis Landry FLEX Ameer Abdullah WR Adam Humphries TE Jesse James QB Jameis Winston,,Joe Mixon,1.94%,11.1
68,854320490,MoneyTrain18 (2/2),0,115.16,WR DeAndre Hopkins DST Cardinals  FLEX Danny Amendola TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Christian McCaffrey,1.94%,14.8
69,851938869,BarOfSoap,0,115.06,FLEX Kareem Hunt WR Deonte Thompson DST Cowboys  WR T.Y. Hilton WR Kenny Stills TE Cameron Brate QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Jermaine Kearse,1.94%,13.8
70,853028000,Leftyjoey,0,113.96,WR Tyreek Hill DST Cowboys  FLEX DeSean Jackson RB Le'Veon Bell WR Chris Hogan TE Jesse James WR Cordarrelle Patterson QB Jameis Winston RB Todd Gurley II,,Rob Gronkowski,1.94%,0
71,852437751,Makisupa,0,113.76,DST Jets  WR Dez Bryant TE Dwayne Allen WR Chris Hogan FLEX Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Browns ,1.94%,6
71,853589350,BDholla89 (2/3),0,113.76,DST Cardinals  QB Josh McCown WR Dez Bryant WR Golden Tate WR Jermaine Kearse RB Le'Veon Bell TE Austin Seferian-Jenkins RB Duke Johnson Jr. FLEX Todd Gurley II,,George Kittle,1.94%,21.3
73,854116525,JJ76,0,113.66,DST Vikings  WR DeSean Jackson FLEX Vance McDonald RB Mike Gillislee RB Le'Veon Bell TE Cameron Brate WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Tyler Kroft,1.94%,7.8
74,851875916,TeeJayOrTj,0,113.36,FLEX Lamar Miller DST Eagles  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Thomas Rawls,1.94%,5.5
75,853101963,Hothead2288,0,112.92,DST Ravens  QB Tom Brady RB Frank Gore TE Delanie Walker WR Alshon Jeffery RB Le'Veon Bell WR Jarvis Landry FLEX Javorius Allen WR Marqise Lee,,Marqise Lee,1.94%,6.9
76,851692692,STR8_CASH_HOMIES (1/3),0,112.86,DST Cardinals  WR Golden Tate RB Le'Veon Bell TE Cameron Brate RB James White WR Jarvis Landry WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Trent Taylor,1.94%,1.6
76,852744724,STR8_CASH_HOMIES (2/3),0,112.86,DST Cardinals  WR Golden Tate RB Le'Veon Bell TE Cameron Brate RB James White WR Jarvis Landry WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Doug Baldwin,1.94%,7.7
76,853901493,STR8_CASH_HOMIES (3/3),0,112.86,DST Cardinals  WR Golden Tate RB Le'Veon Bell TE Cameron Brate RB James White WR Jarvis Landry WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Wayne Gallman,1.94%,13.2
79,853808628,Netmynder1,0,112.36,TE Travis Kelce DST Steelers  WR Jordy Nelson WR Larry Fitzgerald RB Marshawn Lynch RB LeGarrette Blount WR Chris Hogan FLEX Thomas Rawls QB Jameis Winston,,Ben Roethlisberger,1.94%,10.58
80,853741644,madoublet98,0,112.16,DST Raiders  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX Ameer Abdullah WR Mike Evans RB Melvin Gordon WR Robby Anderson QB Jameis Winston,,Tarik Cohen,1.94%,2.2
80,854353104,soupajaff,0,112.16,DST Raiders  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX Ameer Abdullah WR Mike Evans RB Melvin Gordon WR Robby Anderson QB Jameis Winston,,Torrey Smith,1.94%,15.7
82,852974587,moklovin (1/3),0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,O.J. Howard,1.94%,0
82,852974588,moklovin (2/3),0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Raiders ,1.94%,0
82,852981832,moklovin (3/3),0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Aaron Jones,1.94%,23.4
85,852577650,underjones (1/3),0,107.06,DST Eagles  TE Cameron Brate RB James White WR Mike Evans WR Adam Humphries WR Robby Anderson QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Larry Fitzgerald,1.94%,11.1
85,852577777,underjones (2/3),0,107.06,DST Eagles  TE Cameron Brate RB James White WR Mike Evans WR Adam Humphries WR Robby Anderson QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Colts ,1.94%,2
