"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Erik Swoope",2600,"SF@IND 01:00PM ET",0,"IND"
"TE","Jonnu Smith",2600,"TEN@MIA 01:00PM ET",5.100,"TEN"
"TE","Demetrius Harris",2600,"KC@HOU 08:30PM ET",2.375,"KC"
"TE","Luke Stocker",2500,"NE@TB 08:25PM ET",0.000,"TB"
"TE","Dwayne Allen",2500,"NE@TB 08:25PM ET",0.000,"NE"
"TE","Alan Cross",2500,"NE@TB 08:25PM ET",1.033,"TB"
"TE","Jacob Hollister",2500,"NE@TB 08:25PM ET",1.467,"NE"
"TE","Antony Auclair",2500,"NE@TB 08:25PM ET",0,"TB"
"TE","Clark Harris",2500,"BUF@CIN 01:00PM ET",0.000,"CIN"
"TE","Ryan Hewitt",2500,"BUF@CIN 01:00PM ET",0.650,"CIN"
"TE","Logan Thomas",2500,"BUF@CIN 01:00PM ET",0.000,"BUF"
"TE","C.J. Uzomah",2500,"BUF@CIN 01:00PM ET",1.050,"CIN"
"TE","Nick O'Leary",2500,"BUF@CIN 01:00PM ET",1.825,"BUF"
"TE","Cethan Carter",2500,"BUF@CIN 01:00PM ET",0.000,"CIN"
"TE","Khari Lee",2500,"BUF@CIN 01:00PM ET",0,"BUF"
"TE","Will Tye",2500,"NYJ@CLE 01:00PM ET",2.600,"NYJ"
"TE","Eric Tomlinson",2500,"NYJ@CLE 01:00PM ET",2.250,"NYJ"
"TE","Neal Sterling",2500,"NYJ@CLE 01:00PM ET",0.600,"NYJ"
"TE","Randall Telfer",2500,"NYJ@CLE 01:00PM ET",1.100,"CLE"
"TE","Jordan Leggett",2500,"NYJ@CLE 01:00PM ET",0,"NYJ"
"DST","Panthers ",2500,"CAR@DET 01:00PM ET",6.750,"CAR"
"TE","Darren Fells",2500,"CAR@DET 01:00PM ET",2.775,"DET"
"TE","Chris Manhertz",2500,"CAR@DET 01:00PM ET",0.000,"CAR"
"TE","Michael Roberts",2500,"CAR@DET 01:00PM ET",0.625,"DET"
"TE","Logan Paulsen",2500,"SF@IND 01:00PM ET",0.000,"SF"
"TE","Kyle Nelson",2500,"SF@IND 01:00PM ET",0.000,"SF"
"TE","Garrett Celek",2500,"SF@IND 01:00PM ET",2.175,"SF"
"TE","Brandon Williams",2500,"SF@IND 01:00PM ET",2.225,"IND"
"TE","George Kittle",2500,"SF@IND 01:00PM ET",4.575,"SF"
"TE","Darrell Daniels",2500,"SF@IND 01:00PM ET",0.400,"IND"
"TE","Anthony Fasano",2500,"TEN@MIA 01:00PM ET",0.000,"MIA"
"TE","Beau Brinkley",2500,"TEN@MIA 01:00PM ET",0.000,"TEN"
"TE","MarQueis Gray",2500,"TEN@MIA 01:00PM ET",0.000,"MIA"
"TE","Phillip Supernaw",2500,"TEN@MIA 01:00PM ET",0.325,"TEN"
"DST","Chargers ",2500,"LAC@NYG 01:00PM ET",4.250,"LAC"
"TE","Sean McGrath",2500,"LAC@NYG 01:00PM ET",0.667,"LAC"
"TE","Rhett Ellison",2500,"LAC@NYG 01:00PM ET",3.775,"NYG"
"TE","Matt LaCosse",2500,"LAC@NYG 01:00PM ET",0,"NYG"
"TE","Sean Culkin",2500,"LAC@NYG 01:00PM ET",0.000,"LAC"
"TE","Jerell Adams",2500,"LAC@NYG 01:00PM ET",1.200,"NYG"
"TE","Brent Celek",2500,"ARI@PHI 01:00PM ET",0.525,"PHI"
"TE","Ifeanyi Momah",2500,"ARI@PHI 01:00PM ET",1.400,"ARI"
"TE","Trey Burton",2500,"ARI@PHI 01:00PM ET",1.175,"PHI"
"TE","Troy Niklas",2500,"ARI@PHI 01:00PM ET",1.150,"ARI"
"TE","Ricky Seals-Jones",2500,"ARI@PHI 01:00PM ET",0.000,"ARI"
"TE","James O'Shaughnessy",2500,"JAX@PIT 01:00PM ET",1.250,"JAX"
"TE","Xavier Grimble",2500,"JAX@PIT 01:00PM ET",0.000,"PIT"
"TE","Ben Koyack",2500,"JAX@PIT 01:00PM ET",0.000,"JAX"
"TE","Tyler Ott",2500,"SEA@LAR 04:05PM ET",0.000,"SEA"
"TE","Tyler Higbee",2500,"SEA@LAR 04:05PM ET",3.200,"LAR"
"TE","Nick Vannett",2500,"SEA@LAR 04:05PM ET",0.500,"SEA"
"TE","Derek Carrier",2500,"SEA@LAR 04:05PM ET",1.700,"LAR"
"TE","Gerald Everett",2500,"SEA@LAR 04:05PM ET",4.800,"LAR"
"TE","Lee Smith",2500,"BAL@OAK 04:05PM ET",1.350,"OAK"
"TE","Clive Walford",2500,"BAL@OAK 04:05PM ET",0.650,"OAK"
"TE","Nick Boyle",2500,"BAL@OAK 04:05PM ET",4.075,"BAL"
"TE","Maxx Williams",2500,"BAL@OAK 04:05PM ET",3.900,"BAL"
"TE","Vince Mayle",2500,"BAL@OAK 04:05PM ET",0.000,"BAL"
"TE","Lance Kendricks",2500,"GB@DAL 04:25PM ET",4.500,"GB"
"TE","James Hanna",2500,"GB@DAL 04:25PM ET",2.450,"DAL"
"TE","Geoff Swaim",2500,"GB@DAL 04:25PM ET",0.000,"DAL"
"TE","James Winchester",2500,"KC@HOU 08:30PM ET",0.000,"KC"
"TE","Ross Travis",2500,"KC@HOU 08:30PM ET",0.000,"KC"
"TE","Andrew DePaola",2500,"MIN@CHI 08:30PM ET",0.000,"CHI"
"TE","Adam Shaheen",2500,"MIN@CHI 08:30PM ET",1.800,"CHI"
"TE","Daniel Brown",2500,"MIN@CHI 08:30PM ET",0.000,"CHI"
"TE","Dion Sims",2500,"MIN@CHI 08:30PM ET",1.725,"CHI"
"TE","Kevin McDermott",2500,"MIN@CHI 08:30PM ET",0.000,"MIN"
"TE","Blake Bell",2500,"MIN@CHI 08:30PM ET",0.550,"MIN"
"TE","David Morgan",2500,"MIN@CHI 08:30PM ET",0.000,"MIN"
"DST","Buccaneers ",2400,"NE@TB 08:25PM ET",6.000,"TB"
"DST","Packers ",2400,"GB@DAL 04:25PM ET",6.750,"GB"
"DST","Cardinals ",2300,"ARI@PHI 01:00PM ET",6.000,"ARI"
"DST","Cowboys ",2100,"GB@DAL 04:25PM ET",4.500,"DAL"
