"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Kellen Clemens",4000,"MIA@LAC 04:05PM ET",0,"LAC"
"RB","Branden Oliver",4000,"MIA@LAC 04:05PM ET",1.000,"LAC"
"RB","Kenyan Drake",4000,"MIA@LAC 04:05PM ET",0,"MIA"
"QB","EJ Manuel",4000,"NYJ@OAK 04:05PM ET",0,"OAK"
"QB","Bryce Petty",4000,"NYJ@OAK 04:05PM ET",0,"NYJ"
"RB","DeAndre Washington",4000,"NYJ@OAK 04:05PM ET",4.200,"OAK"
"RB","Jalen Richard",4000,"NYJ@OAK 04:05PM ET",3.800,"OAK"
"QB","Kellen Moore",4000,"DAL@DEN 04:25PM ET",0,"DAL"
"QB","Paxton Lynch",4000,"DAL@DEN 04:25PM ET",0,"DEN"
"QB","Brandon Allen",4000,"WAS@LAR 04:25PM ET",0,"LAR"
"DST","Seahawks ",4000,"SF@SEA 04:25PM ET",7.000,"SEA"
"WR","Tyler Lockett",4000,"SF@SEA 04:25PM ET",1.800,"SEA"
"WR","Taylor Gabriel",4000,"GB@ATL 08:30PM ET",6.600,"ATL"
"RB","Shane Vereen",4000,"DET@NYG 08:30PM ET",14.100,"NYG"
"WR","Kenny Golladay",4000,"DET@NYG 08:30PM ET",22.900,"DET"
"QB","Davis Webb",4000,"DET@NYG 08:30PM ET",0,"NYG"
"WR","Mike Wallace",3900,"CLE@BAL 01:00PM ET",1.800,"BAL"
"RB","Duke Johnson Jr.",3900,"CLE@BAL 01:00PM ET",4.000,"CLE"
"WR","Jordan Matthews",3900,"BUF@CAR 01:00PM ET",8.100,"BUF"
"WR","Devin Funchess",3900,"BUF@CAR 01:00PM ET",4.000,"CAR"
"WR","Allen Hurns",3900,"TEN@JAX 01:00PM ET",7.200,"JAX"
"RB","T.J. Yeldon",3900,"TEN@JAX 01:00PM ET",0,"JAX"
"RB","Darren Sproles",3900,"PHI@KC 01:00PM ET",9.500,"PHI"
"RB","Rex Burkhead",3900,"NE@NO 01:00PM ET",3.300,"NE"
"WR","Phillip Dorsett",3900,"NE@NO 01:00PM ET",0.000,"NE"
"WR","Kendall Wright",3900,"CHI@TB 01:00PM ET",6.400,"CHI"
"RB","Charles Sims",3900,"CHI@TB 01:00PM ET",0,"TB"
"WR","Kenny Stills",3900,"MIA@LAC 04:05PM ET",0,"MIA"
