Position,Name,teamAbbrev,Actual,Salary,AvgPointsPerGame,Ownership,OwnershipTier,,,
WR,Trent Taylor,SF,12.2,3000,3.02,0%,L,,,
RB,Kyle Juszczyk,SF,4.4,3000,3.01,0%,L,,,
TE,Dwayne Allen,NE,0,2500,2.88,0%,L,,,
WR,Pharoh Cooper,LAR,0.4,3000,2.82,0%,L,,,
WR,Aldrick Robinson,SF,4.3,3000,2.7,0%,L,,,
RB,Jordan Howard,CHI,35.4,4900,0,0%,L,,,
RB,D'Onta Foreman,HOU,11,4000,3.21,0%,L,,,
TE,Jermaine Gresham,ARI,9.7,2700,6.33,0%,L,,,
WR,Markus Wheaton,CHI,0,3500,6.25,0%,L,,,
WR,Jeremy Kerley,NYJ,9.2,3600,6.02,0%,L,,,
WR,Breshad Perriman,BAL,0,3000,5.95,0%,L,,,
WR,Laquon Treadwell,MIN,1.2,3300,5.03,0%,L,,,
RB,Dion Lewis,NE,4.7,3400,3.78,0%,L,,,
TE,Stephen Anderson,HOU,2.4,2900,2.33,0%,L,,,
QB,Mike Glennon,CHI,7.44,4700,13.51,0%,L,,,
RB,DeMarco Murray,TEN,22,5500,11.52,0%,L,,,
TE,Tyler Eifert,CIN,0,3900,6.61,0%,L,,,
WR,Deonte Thompson,CHI,1.9,3500,6.35,0%,L,,,
RB,Thomas Rawls,SEA,0,4000,5.79,0%,L,,,
WR,Curtis Samuel,CAR,5.6,3200,5.3,0%,L,,,
RB,Jeremy Hill,CIN,3.9,3700,4.99,0%,L,,,
WR,Braxton Miller,HOU,2.5,3100,4.77,0%,L,,,
TE,O.J. Howard,TB,2.2,2700,4.77,0%,L,,,
RB,Andre Ellington,ARI,13.1,3800,4.7,0%,L,,,
WR,Bruce Ellington,HOU,15.8,3300,4.54,0%,L,,,
WR,Josh Bellamy,CHI,0,3300,4.26,0%,L,,,
WR,Cordarrelle Patterson,OAK,2.2,3000,4.1,0%,L,,,
TE,Vance McDonald,PIT,0,2800,3.22,0%,L,,,
RB,Latavius Murray,MIN,0.5,3200,3.18,0%,L,,,
RB,Orleans Darkwa,NYG,4.3,3400,2.86,0%,L,,,
RB,Tyler Ervin,HOU,1.8,3000,2.65,0%,L,,,
WR,Alex Erickson,CIN,0,3100,1.51,0%,L,,,
TE,C.J. Uzomah,CIN,0,2500,1.51,0%,L,,,
WR,Cody Latimer,DEN,0,3000,1.09,0%,L,,,
RB,Justin Davis,LAR,0,3000,0.6,0%,L,,,
WR,TJ Jones,DET,9.3,3000,0,0%,L,,,
TE,Kyle Nelson,SF,0,2500,0,0%,L,,,
TE,Michael Hoomanawanui,NO,0,2500,0,0%,L,,,
RB,Bilal Powell,NYJ,9.7,4200,8.34,0%,L,,,
WR,Albert Wilson,KC,10.4,3100,5.56,0%,L,,,
RB,Robert Turbin,IND,3,3700,5.32,0%,L,,,
WR,Tyler Boyd,CIN,2.1,3300,5.09,0%,L,,,
WR,Dontrelle Inman,LAC,1.2,3400,5.08,0%,L,,,
RB,Rex Burkhead,NE,0,4000,4.82,0%,L,,,
RB,C.J. Prosise,SEA,10.4,3700,4.25,0%,L,,,
WR,Bennie Fowler,DEN,9.5,3000,4.21,0%,L,,,
RB,Jamaal Williams,GB,0.6,4400,3.85,0%,L,,,
TE,Garrett Celek,SF,7.1,2500,3.85,0%,L,,,
TE,A.J. Derby,DEN,1.5,2500,3.84,0%,L,,,
WR,Phillip Dorsett,NE,0,4000,3.71,0%,L,,,
WR,Taywan Taylor,TEN,3.5,3600,3.14,0%,L,,,
TE,Luke Willson,SEA,14.3,2600,2.82,0%,L,,,
TE,Lance Kendricks,GB,13.2,2500,2.68,0%,L,,,
WR,Tommylee Lewis,NO,5.3,3100,2.45,0%,L,,,
TE,Demetrius Harris,KC,0,2600,2.45,0%,L,,,
TE,Nick Boyle,BAL,3.4,2500,2.38,0%,L,,,
WR,Michael Campanaro,BAL,2,3100,2.35,0%,L,,,
WR,Roger Lewis,NYG,1.6,3300,2.26,0%,L,,,
RB,T.J. Yeldon,JAX,0,3900,1.84,0%,L,,,
TE,Brent Celek,PHI,0,2500,1.73,0%,L,,,
WR,Mack Hollins,PHI,0,3000,1.64,0%,L,,,
RB,Eddie Lacy,SEA,0,3400,1.52,0%,L,,,
TE,Rhett Ellison,NYG,0,2500,1.47,0%,L,,,
WR,Jeff Janis,GB,0,3300,1.13,0%,L,,,
RB,Raheem Mostert,SF,0.1,3000,0.97,0%,L,,,
WR,Josh Reynolds,LAR,0,3000,0.9,0%,L,,,
WR,Ryan Switzer,DAL,0.3,3000,0.71,0%,L,,,
TE,Ifeanyi Momah,ARI,0,2500,0.61,0%,L,,,
RB,Elijhaa Penny,ARI,0,3000,0.55,0%,L,,,
WR,Max McCaffrey,JAX,0,3000,0.54,0%,L,,,
TE,Jacob Hollister,NE,2.9,2500,0.54,0%,L,,,
TE,Derek Carrier,LAR,2.7,2500,0.4,0%,L,,,
RB,Darren McFadden,DAL,0,4500,0.32,0%,L,,,
WR,Kasen Williams,CLE,2,3000,0.27,0%,L,,,
RB,Tommy Bohanon,JAX,1.8,3000,0.23,0%,L,,,
TE,Greg Olsen,CAR,0,4900,0,0%,L,,,
WR,Corey Coleman,CLE,0,4800,0,0%,L,,,
RB,De'Angelo Henderson,DEN,0,3600,1.59,0%,L,,,
WR,Jaelen Strong,JAX,0,3500,0,0%,L,,,
WR,Victor Bolden Jr.,SF,0,3000,0,0%,L,,,
WR,Kendrick Bourne,SF,0,3000,0,0%,L,,,
WR,Keelan Cole,JAX,0,3000,0,0%,L,,,
WR,Damiere Byrd,CAR,0,3000,0,0%,L,,,
RB,Trey Edmunds,NO,0,3000,0,0%,L,,,
RB,Michael Burton,CHI,0,3000,0,0%,L,,,
WR,Andre Roberts,ATL,0,3000,0,0%,L,,,
RB,Tion Green,DET,0,3000,0,0%,L,,,
RB,Danny Vitale,CLE,0,3000,0,0%,L,,,
WR,Reggie Davis,CLE,0,3000,0,0%,L,,,
WR,Bernard Reedy,TB,0,3000,0,0%,L,,,
WR,Matthew Slater,NE,0,3000,0,0%,L,,,
RB,Jordan Todman,HOU,0,3000,0,0%,L,,,
RB,Brandon Bolden,NE,0,3000,0,0%,L,,,
WR,Tavarres King,NYG,0,3000,0,0%,L,,,
RB,Shane Smith,NYG,0,3000,0,0%,L,,,
WR,De'Anthony Thomas,KC,0,3000,0.66,0%,L,,,
TE,Evan Baylis,HOU,0,2600,0,0%,L,,,
TE,James O'Shaughnessy,JAX,0,2500,0,0%,L,,,
TE,Nick O'Leary,BUF,0,2500,1.18,0%,L,,,
TE,Andrew DePaola,CHI,0,2500,0,0%,L,,,
TE,Kevin McDermott,MIN,0,2500,0,0%,L,,,
TE,Antony Auclair,TB,0,2500,0,0%,L,,,
TE,Matt LaCosse,NYG,0,2500,0,0%,L,,,
TE,Beau Brinkley,TEN,0,2500,0,0%,L,,,
TE,Tyler Ott,SEA,0,2500,0,0%,L,,,
TE,Clark Harris,CIN,0,2500,0,0%,L,,,
TE,Cethan Carter,CIN,0,2500,0,0%,L,,,
TE,James Winchester,KC,0,2500,0,0%,L,,,
TE,Sean Culkin,LAC,0,2500,0,0%,L,,,
TE,James Hanna,DAL,0,2500,0,0%,L,,,
QB,Blake Bortles,JAX,0,4400,14.99,0%,L,,,
RB,Rob Kelley,WAS,0,4200,8.51,0%,L,,,
WR,Corey Davis,TEN,0,3900,7.96,0%,L,,,
RB,Paul Perkins,NYG,0,3800,7.7,0%,L,,,
RB,Jerick McKinnon,MIN,0,4000,6.92,0%,L,,,
RB,Charles Sims,TB,0,3900,6.22,0%,L,,,
RB,Chris Ivory,JAX,0,3800,6.18,0%,L,,,
RB,Charcandrick West,KC,0,4000,5.29,0%,L,,,
WR,ArDarius Stewart,NYJ,0,3100,4.7,0%,L,,,
RB,Mike Tolbert,BUF,0,3800,4.56,0%,L,,,
WR,Kamar Aiken,IND,0,3300,4.5,0%,L,,,
RB,Marlon Mack,IND,0,3800,4.48,0%,L,,,
RB,DeAndre Washington,OAK,0,4000,4.47,0%,L,,,
WR,Chris Godwin,TB,0,3000,4.46,0%,L,,,
WR,JuJu Smith-Schuster,PIT,0,3000,4.29,0%,L,,,
TE,Dion Sims,CHI,0,2500,4.18,0%,L,,,
RB,Branden Oliver,LAC,0,4000,4.16,0%,L,,,
WR,John Ross,CIN,0,3300,4.14,0%,L,,,
WR,Ricardo Louis,CLE,0,3000,4.05,0%,L,,,
RB,Alfred Blue,HOU,0,3800,4.03,0%,L,,,
WR,Josh Doctson,WAS,0,3500,3.96,0%,L,,,
TE,Marcedes Lewis,JAX,0,2500,3.63,0%,L,,,
RB,Damien Williams,MIA,0,3800,3.55,0%,L,,,
RB,Wendell Smallwood,PHI,0,3800,3.47,0%,L,,,
RB,Devontae Booker,DEN,0,3500,3.47,0%,L,,,
WR,Sammie Coates,CLE,0,3100,3.38,0%,L,,,
TE,Jonnu Smith,TEN,0,2600,3.36,0%,L,,,
QB,Cody Kessler,CLE,0,4000,3.32,0%,L,,,
WR,Jarius Wright,MIN,0,3000,3.3,0%,L,,,
RB,Dwayne Washington,DET,0,3800,3.19,0%,L,,,
WR,Brice Butler,DAL,0,3000,3.09,0%,L,,,
WR,Arrelious Benn,JAX,0,3000,3.08,0%,L,,,
QB,Matt Moore,MIA,0,4500,3.05,0%,L,,,
TE,Levine Toilolo,ATL,0,2500,3.04,0%,L,,,
TE,Trey Burton,PHI,0,2500,3.04,0%,L,,,
TE,Clive Walford,OAK,0,2500,3.03,0%,L,,,
TE,Josh Hill,NO,0,2500,3.01,0%,L,,,
RB,James Conner,PIT,0,4500,2.99,0%,L,,,
TE,Will Tye,NYJ,0,2600,2.99,0%,L,,,
QB,Tom Savage,HOU,0,4400,2.95,0%,L,,,
WR,Chester Rogers,IND,0,3000,2.95,0%,L,,,
WR,Darrius Heyward-Bey,PIT,0,3000,2.93,0%,L,,,
TE,Maxx Williams,BAL,0,2500,2.85,0%,L,,,
RB,Kenyan Drake,MIA,0,4000,2.83,0%,L,,,
RB,Malcolm Brown,LAR,0,3900,2.77,0%,L,,,
QB,Landry Jones,PIT,0,4500,2.71,0%,L,,,
TE,Jerell Adams,NYG,0,2500,2.67,0%,L,,,
RB,Cameron Artis-Payne,CAR,0,3000,2.63,0%,L,,,
QB,Matt Cassel,TEN,0,4300,2.61,0%,L,,,
TE,Ben Koyack,JAX,0,2500,2.57,0%,L,,,
RB,Alfred Morris,DAL,0,5200,2.55,0%,L,,,
WR,Cody Core,CIN,0,3000,2.52,0%,L,,,
WR,Brian Quick,WAS,0,3000,2.51,0%,L,,,
RB,Zach Zenner,DET,0,3300,2.44,0%,L,,,
WR,Justin Hardy,ATL,0,3000,2.43,0%,L,,,
RB,Benny Cunningham,CHI,0,3000,2.37,0%,L,,,
TE,Adam Shaheen,CHI,0,2500,2.3,0%,L,,,
WR,Jordan Taylor,DEN,0,3000,2.29,0%,L,,,
QB,Scott Tolzien,IND,0,4300,2.21,0%,L,,,
WR,Charone Peake,NYJ,0,3000,2.17,0%,L,,,
RB,Aaron Jones,GB,0,3700,2.03,0%,L,,,
RB,Elijah McGuire,NYJ,0,3500,2,0%,L,,,
RB,Peyton Barber,TB,0,3000,1.95,0%,L,,,
TE,Tyler Kroft,CIN,0,2500,1.83,0%,L,,,
TE,Randall Telfer,CLE,0,2500,1.78,0%,L,,,
WR,Chad Williams,ARI,0,3000,1.69,0%,L,,,
TE,Xavier Grimble,PIT,0,2500,1.69,0%,L,,,
RB,Fozzy Whittaker,CAR,0,3000,1.67,0%,L,,,
WR,Justin Hunter,PIT,0,3000,1.66,0%,L,,,
TE,Darren Fells,DET,0,2500,1.62,0%,L,,,
RB,Aaron Ripkowski,GB,0,3000,1.61,0%,L,,,
RB,Corey Grant,JAX,0,3000,1.59,0%,L,,,
TE,Anthony Fasano,MIA,0,2500,1.47,0%,L,,,
RB,Matthew Dayes,CLE,0,3000,1.39,0%,L,,,
TE,Jeff Heuerman,DEN,0,2500,1.38,0%,L,,,
TE,Daniel Brown,CHI,0,2500,1.38,0%,L,,,
WR,Brittan Golden,ARI,0,3000,1.34,0%,L,,,
TE,Michael Roberts,DET,0,2500,1.26,0%,L,,,
TE,MarQueis Gray,MIA,0,2500,1.16,0%,L,,,
WR,Amara Darboh,SEA,0,3000,1.14,0%,L,,,
WR,Leonte Carroo,MIA,0,3000,1.08,0%,L,,,
WR,Shelton Gibson,PHI,0,3000,1.08,0%,L,,,
WR,Chris Moore,BAL,0,3000,1.02,0%,L,,,
