,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Week,Year,GID,Pos,Team,h/a,Oppt,FD points,FD salary
412,WR,Isaiah McKenzie,3000,DEN@BUF 01:00PM ET,0.65,DEN,3.0,2017.0,5574.0,WR,den,a,buf,0.4,4500.0
413,WR,Dwayne Harris,3000,NYG@PHI 01:00PM ET,0.63,NYG,3.0,2017.0,5130.0,WR,nyg,a,phi,0.0,4500.0
414,TE,Troy Niklas,2500,DAL@ARI 08:30PM ET,0.63,ARI,3.0,2017.0,4605.0,TE,ari,h,dal,1.5,4500.0
415,TE,Eric Saubert,2500,ATL@DET 01:00PM ET,0.62,ATL,,,,,,,,,
416,TE,Ifeanyi Momah,2500,DAL@ARI 08:30PM ET,0.61,ARI,3.0,2017.0,4662.0,TE,ari,h,dal,0.0,4500.0
417,RB,Justin Davis,3000,LAR@SF 08:25PM ET,0.6,LAR,,,,,,,,,
418,RB,Akeem Hunt,3000,KC@LAC 04:25PM ET,0.6,KC,3.0,2017.0,5431.0,RB,kan,a,lac,0.0,4500.0
419,TE,Jeremy Sprinkle,2500,OAK@WAS 08:30PM ET,0.6,WAS,,,,,,,,,
420,WR,Chad Hansen,3000,MIA@NYJ 01:00PM ET,0.59,NYJ,,,,,,,,,
421,RB,Corey Clement,3000,NYG@PHI 01:00PM ET,0.58,PHI,3.0,2017.0,5583.0,RB,phi,h,nyg,8.2,4500.0
422,TE,Geoff Swaim,2500,DAL@ARI 08:30PM ET,0.58,DAL,3.0,2017.0,4668.0,TE,dal,a,ari,0.0,4500.0
423,QB,Nick Foles,4300,NYG@PHI 01:00PM ET,0.55,PHI,,,,,,,,,
424,RB,Elijhaa Penny,3000,DAL@ARI 08:30PM ET,0.55,ARI,,,,,,,,,
425,WR,Max McCaffrey,3000,BAL@JAX 09:30AM ET,0.54,JAX,,,,,,,,,
426,TE,Jacob Hollister,2500,HOU@NE 01:00PM ET,0.54,NE,3.0,2017.0,4707.0,TE,nwe,h,hou,2.4,4500.0
427,WR,Quan Bray,3000,CLE@IND 01:00PM ET,0.5,IND,3.0,2017.0,5429.0,WR,ind,h,cle,2.7,4500.0
428,WR,Demarcus Robinson,3000,KC@LAC 04:25PM ET,0.49,KC,3.0,2017.0,5515.0,WR,kan,a,lac,1.9,4500.0
429,TE,Niles Paul,2500,OAK@WAS 08:30PM ET,0.48,WAS,3.0,2017.0,5110.0,TE,was,h,oak,0.2,4500.0
430,RB,Taiwan Jones,3000,DEN@BUF 01:00PM ET,0.46,BUF,3.0,2017.0,2820.0,RB,buf,h,den,0.0,4500.0
431,TE,Blake Bell,2500,TB@MIN 01:00PM ET,0.46,MIN,,,,,,,,,
432,QB,Bryce Petty,4000,MIA@NYJ 01:00PM ET,0.45,NYJ,,,,,,,,,
433,WR,Tre McBride,3000,PIT@CHI 01:00PM ET,0.45,CHI,,,,,,,,,
434,QB,AJ McCarron,4700,CIN@GB 04:25PM ET,0.43,CIN,,,,,,,,,
435,QB,Kevin Hogan,4600,CLE@IND 01:00PM ET,0.43,CLE,,,,,,,,,
436,RB,Joe Banyard,3000,DEN@BUF 01:00PM ET,0.42,BUF,,,,,,,,,
