Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual
74988,Cardinals ,DST,ARI,2900,7.26,0
74991,Josh McCown,QB,NYJ,4500,15.28,14.66
74996,Tommylee Lewis,WR,NO,3100,0,5.3
75000,Donte Moncrief,WR,IND,3800,9.66,6.4
75005,Tyreek Hill,WR,KC,6600,15.39,20
75006,Andrew Luck,QB,IND,5800,0,0
75007,Cooper Rush,QB,DAL,4500,0,0
75008,Sean McGrath,TE,LAC,2500,0,0
75011,Austin Davis,QB,SEA,4300,0,0
75012,Austin Hooper,TE,ATL,3800,8.15,1.9
75017,Brandon Coleman,WR,NO,3900,8.35,8.1
75018,Carson Palmer,QB,ARI,6000,19.13,24.7
75024,Ricardo Louis,WR,CLE,3000,5.86,2
75025,Thomas Rawls,RB,SEA,4000,6.68,0
75027,O.J. Howard,TE,TB,2700,0,2.2
75031,Amari Cooper,WR,OAK,7100,17.85,1.6
75032,Russell Wilson,QB,SEA,6300,17.92,36.52
75034,Danny Amendola,WR,NE,5400,12.77,7.8
75035,Julius Thomas,TE,MIA,3000,8.36,4.6
75039,Malcolm Brown,RB,LAR,3900,0,0
75040,Corey Grant,RB,JAX,3000,0,10.3
75054,Matt Breida,RB,SF,3800,6.04,5.9
75055,Michael Burton,RB,CHI,3000,0,0
75060,Cole Beasley,WR,DAL,4700,10.59,1.4
75064,Roosevelt Nix,RB,PIT,3000,0,0
75066,Kyle Rudolph,TE,MIN,4200,10.19,1.4
75067,Vikings ,DST,MIN,3300,4.54,9
75074,Leonard Fournette,RB,JAX,6000,16.82,17
75075,Mohamed Sanu,WR,ATL,4500,12.74,12.8
75080,Geno Smith,QB,NYG,4500,0,0
75087,Raiders ,DST,OAK,2500,7.26,5
75089,Orleans Darkwa,RB,NYG,3400,0,4.3
75091,Martellus Bennett,TE,GB,4000,8.35,4.2
75094,Martavis Bryant,WR,PIT,5700,14.65,5
75095,Tavarres King,WR,NYG,3000,0,0
75096,Eddie Lacy,RB,SEA,3400,0,0
75101,AJ McCarron,QB,CIN,4700,0,0
75102,Seahawks ,DST,SEA,3500,7.3,-1
75106,Todd Gurley II,RB,LAR,6800,20.01,40.8
75107,Curtis Samuel,WR,CAR,3200,0,5.6
75112,Jordan Leggett,TE,NYJ,2500,0,0
75116,Dez Bryant,WR,DAL,6800,18.78,9.2
75117,Ben Roethlisberger,QB,PIT,6200,19.92,13
75127,Virgil Green,TE,DEN,2700,6.41,4.8
75138,Lee Smith,TE,OAK,2500,0,0
75147,Mike Wallace,WR,BAL,3700,8.14,2
75148,DeShone Kizer,QB,CLE,5000,14.18,25.08
75152,James Winchester,TE,KC,2500,0,0
75158,Jacoby Brissett,QB,IND,4800,13.17,27.76
75161,Bennie Fowler,WR,DEN,3000,3.54,9.5
75169,C.J. Ham,RB,MIN,3000,0,2.2
75174,Andre Roberts,WR,ATL,3000,0,2.2
75181,Connor Cook,QB,OAK,4300,0,0
75184,Doug Baldwin,WR,SEA,6400,16.79,29.5
75185,Cowboys ,DST,DAL,2800,7.31,7
75192,Tanner Gentry,WR,CHI,3000,0,0
75199,John Ross,WR,CIN,3300,0,0
75200,Dion Lewis,RB,NE,3400,7.83,4.7
75211,Corey Davis,WR,TEN,3900,0,0
75212,Kalif Raymond,WR,NYJ,3000,0,0
75213,Jordan Howard,RB,CHI,4900,13.16,35.4
75215,Antonio Gates,TE,LAC,3000,5.81,5
75219,Keelan Cole,WR,JAX,3000,0,2.3
75223,Marqise Lee,WR,JAX,4400,11.6,10.5
75224,Devin Funchess,WR,CAR,4200,10.54,9.8
75225,DeAndre Washington,RB,OAK,4000,0,7.4
75226,Aaron Rodgers,QB,GB,7300,21.9,28.82
75231,Brian Hoyer,QB,SF,4800,12.54,30.18
75234,Kenyan Drake,RB,MIA,4000,0,1.2
75241,Albert Wilson,WR,KC,3100,6.1,10.4
75244,Lions ,DST,DET,2400,6.64,13
75259,Lance Kendricks,TE,GB,2500,0,13.2
75261,Shane Smith,RB,NYG,3000,0,0
75265,Rob Gronkowski,TE,NE,6800,19.6,22.9
75267,C.J. Beathard,QB,SF,4200,0,0
75268,Jaguars ,DST,JAX,3400,6.11,12
75273,Alfred Blue,RB,HOU,3800,0,0
75275,Brandon Williams,TE,IND,2500,0,1.7
75278,Rodney Adams,WR,MIN,3000,0,0
75279,Matt Forte,RB,NYJ,4300,11.38,2.5
75280,Xavier Grimble,TE,PIT,2500,0,0
75289,Christian Hackenberg,QB,NYJ,4100,0,0
75290,Cethan Carter,TE,CIN,2500,0,0
75301,Cody Latimer,WR,DEN,3000,0,0
75309,Allen Hurns,WR,JAX,4600,12.34,11
75310,Blake Bell,TE,MIN,2500,0,0
75324,A.J. Derby,TE,DEN,2500,0,1.5
75326,John Brown,WR,ARI,5100,0,0
75327,Doug Martin,RB,TB,4500,0,0
75328,D'Onta Foreman,RB,HOU,4000,6.08,11
75332,Marquise Goodwin,WR,SF,3500,6.46,8.2
75334,Seth DeValve,TE,CLE,2600,8.04,4.9
75348,Tyler Higbee,TE,LAR,2500,2.39,1.4
