Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual
76439,Corey Coleman,WR,CLE,4800,0,0
76440,Alex Erickson,WR,CIN,3100,5.69,0
76441,Jay Prosch,RB,HOU,3000,0,0
76449,Noah Brown,WR,DAL,3000,0,2.3
76450,Alex Smith,QB,KC,5900,17.95,15.1
76452,James O'Shaughnessy,TE,JAX,2500,0,2.2
76453,Tyrod Taylor,QB,BUF,4900,13.08,17.82
76458,Chris Thompson,RB,WAS,4500,13.53,33.8
76466,Davante Adams,WR,GB,5600,16.44,9
76467,Johnny Holton,WR,OAK,3000,0,0
76471,Alan Cross,TE,TB,2500,0,1.5
76472,Giants ,DST,NYG,3100,5.08,5
76476,DeVante Parker,WR,MIA,6300,15.51,21.6
76477,Aaron Ripkowski,RB,GB,3000,0,0
76482,Pharoh Cooper,WR,LAR,3000,0,0.4
76483,Taquan Mizzell,RB,CHI,3000,0,0
76484,T.J. Yeldon,RB,JAX,3900,0,0
76499,Bruce Ellington,WR,HOU,3300,4.98,15.8
76503,Davis Webb,QB,NYG,4000,0,0
76517,Shane Vereen,RB,NYG,4000,9.56,4.3
76521,Scott Tolzien,QB,IND,4300,0,0
76523,Neal Sterling,TE,NYJ,2500,0,0
76528,Ravens ,DST,BAL,3900,9.61,-4
76529,Jordan Reed,TE,WAS,5400,0,0
76530,Eric Ebron,TE,DET,3300,10.99,2.9
76534,Kareem Hunt,RB,KC,8000,18.64,28.3
76535,C.J. Uzomah,TE,CIN,2500,0,0
76537,Terrance West,RB,BAL,4900,9.51,1.6
76540,Josh Hill,TE,NO,2500,0,1.3
76543,Brian Quick,WR,WAS,3000,0,0
76549,Jakeem Grant,WR,MIA,3000,0,2.2
76556,Frank Gore,RB,IND,4200,12.5,12.7
76562,TJ Jones,WR,DET,3000,0,9.3
76570,Terrelle Pryor Sr.,WR,WAS,5900,15.82,3.9
76577,Kendrick Bourne,WR,SF,3000,0,0
76578,Seth Roberts,WR,OAK,3400,5.72,5
76579,Landry Jones,QB,PIT,4500,0,0
76587,Troy Niklas,TE,ARI,2500,0,2
76662,Matt Hazel,WR,IND,3000,0,0
76690,Andy Jones,WR,HOU,3000,0,0
76754,Ryan Nassib,QB,JAX,4000,0,0
