Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
60,863160097,sjm6 (1/3),0,131.84,DST Ravens  QB Drew Brees RB Jerick McKinnon FLEX Chris Hogan TE Austin Seferian-Jenkins WR Davante Adams WR Michael Thomas WR Adam Thielen RB Alvin Kamara,,Marshawn Lynch,3.88%,6.3
61,863552839,jgallagher80,0,131.3,WR Larry Fitzgerald QB Kevin Hogan RB Javorius Allen RB Melvin Gordon WR Devin Funchess FLEX Jordan Howard WR Tyreek Hill TE David Njoku DST Broncos ,,Hunter Henry,3.88%,14
62,861055606,CONDIA (2/3),0,129.64,QB Drew Brees TE Coby Fleener RB Mark Ingram WR Julio Jones FLEX Lamar Miller WR Jarvis Landry WR Kelvin Benjamin RB Alvin Kamara DST Broncos ,,Zach Miller,3.88%,10.5
63,863394012,Brunoruno,0,129.54,QB Drew Brees TE Coby Fleener RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Davante Adams WR Amari Cooper FLEX Kareem Hunt DST Broncos ,,Josh McCown,2.91%,25.26
64,863620053,mkreikemeier,0,129.3,DST Buccaneers  WR Michael Crabtree RB Todd Gurley II WR Devin Funchess FLEX Alvin Kamara QB Deshaun Watson RB Christian McCaffrey TE Evan Engram WR T.Y. Hilton,,Marvin Jones Jr.,2.91%,21.6
65,861866051,papagates (1/3),0,129.24,DST Redskins  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Martellus Bennett,2.91%,4.2
65,861866052,papagates (2/3),0,129.24,DST Redskins  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Kevin Hogan,2.91%,10.2
65,861866053,papagates (3/3),0,129.24,DST Redskins  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Randall Cobb,2.91%,5.8
65,863295379,Dinkpiece,0,129.24,QB Drew Brees RB Mark Ingram RB Jerick McKinnon WR Jamison Crowder WR Michael Thomas WR Adam Thielen FLEX Kareem Hunt DST Broncos  TE Delanie Walker,,DeSean Jackson,2.91%,12.8
69,861543119,ChipotleAddict (1/3),0,127.24,DST Falcons  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Packers ,2.91%,4
69,861543120,ChipotleAddict (2/3),0,127.24,DST Falcons  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Elijah McGuire,1.94%,2.2
69,861543121,ChipotleAddict (3/3),0,127.24,DST Falcons  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX Alvin Kamara TE Delanie Walker,,Jacoby Brissett,1.94%,13.98
72,863727775,TexHedge,0,123.56,DST Jets  QB Cam Newton WR J.J. Nelson TE Austin Seferian-Jenkins WR Kelvin Benjamin RB Todd Gurley II WR Devin Funchess RB Kareem Hunt FLEX Evan Engram,,Ted Ginn Jr.,1.94%,16.9
73,863256501,sjm6 (3/3),0,121.74,QB Drew Brees TE Martellus Bennett RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Jamison Crowder WR Devin Funchess RB Kareem Hunt DST Broncos ,,Keenan Allen,1.94%,9.5
74,863261282,JoeDec89,0,121.58,DST Falcons  QB Tom Brady TE Coby Fleener RB Mark Ingram FLEX Lamar Miller WR DeAndre Hopkins RB Jerick McKinnon WR Davante Adams WR Michael Thomas,,Zach Ertz,1.94%,15.8
75,863717690,DonaldReagan,0,120.86,DST 49ers  QB Cam Newton FLEX LeGarrette Blount TE Austin Seferian-Jenkins WR Kelvin Benjamin WR Devin Funchess RB Alvin Kamara RB Leonard Fournette WR T.Y. Hilton,,A.J. Derby,1.94%,2
76,862909440,UtahBob (2/2),0,118.2,DST Jaguars  TE Cameron Brate WR DeAndre Hopkins FLEX Jerick McKinnon RB Devonta Freeman WR Davante Adams WR Ricardo Louis QB Deshaun Watson RB C.J. Anderson,,Texans ,1.94%,22
77,863119810,Hurrikane33,0,117.96,WR Danny Amendola RB Marshawn Lynch QB Cam Newton WR Robby Anderson WR Devin Funchess FLEX Kareem Hunt RB Jordan Howard DST Broncos  TE Evan Engram,,Mike Wallace,1.94%,6
78,863650467,aggie1606,0,117.82,QB Aaron Rodgers WR Larry Fitzgerald FLEX Andre Ellington TE Cameron Brate RB Jerick McKinnon WR Devin Funchess RB Kareem Hunt WR Will Fuller V DST Titans ,,Jay Ajayi,1.94%,16
79,863651890,kohlan (3/3),0,117.06,DST Raiders  FLEX Adrian Peterson RB Marshawn Lynch QB Cam Newton WR Chris Hogan WR Kelvin Benjamin TE Hunter Henry RB Kareem Hunt WR T.Y. Hilton,,Jameis Winston,1.94%,2.44
80,863241137,sjm6 (2/3),0,117,TE Martellus Bennett QB Kirk Cousins RB Chris Thompson WR DeAndre Hopkins RB Jerick McKinnon WR Chris Hogan FLEX Devonta Freeman WR Jamison Crowder DST Broncos ,,Jordan Howard,1.94%,21.6
81,863700703,Sharrow87,0,115.4,DST Jaguars  WR Danny Amendola QB Kirk Cousins WR Randall Cobb TE Cameron Brate FLEX Jay Ajayi RB Javorius Allen WR Kelvin Benjamin RB C.J. Anderson,,Nelson Agholor,1.94%,15.5
82,860735708,cmurr55,0,112.68,DST Ravens  RB Chris Thompson TE Austin Seferian-Jenkins FLEX Todd Gurley II WR Devin Funchess RB Elijah McGuire WR Emmanuel Sanders QB Jacoby Brissett WR T.Y. Hilton,,Jordy Nelson,1.94%,12
83,863643453,kohlan (1/3),0,111.9,DST Packers  RB Marshawn Lynch WR John Brown WR DeAndre Hopkins TE Hunter Henry RB Kareem Hunt QB Deshaun Watson FLEX Evan Engram WR T.Y. Hilton,,Aaron Jones,1.94%,5.2
83,863643454,kohlan (2/3),0,111.9,DST Packers  RB Marshawn Lynch WR John Brown WR DeAndre Hopkins TE Hunter Henry RB Kareem Hunt QB Deshaun Watson FLEX Evan Engram WR T.Y. Hilton,,Adrian Peterson,1.94%,28.4
85,863571885,ecaveney,0,110.36,DST Raiders  QB Josh McCown WR Danny Amendola TE Ed Dickson WR Chris Hogan RB Devonta Freeman RB Melvin Gordon FLEX Kareem Hunt WR Tavarres King,,Terrelle Pryor Sr.,1.94%,5.3
86,863761148,JC129,0,109.58,DST Ravens  WR DeSean Jackson TE Zach Ertz WR Marquise Goodwin FLEX Chris Hogan RB Devonta Freeman QB Carson Wentz RB Alvin Kamara WR Taylor Gabriel,,LeGarrette Blount,1.94%,8.7
87,862207490,GamblersAnonymous,0,108.58,TE Ed Dickson WR Jeremy Kerley WR Antonio Brown RB Lamar Miller FLEX C.J. Anderson DST Broncos  RB DeMarco Murray QB Jacoby Brissett WR T.Y. Hilton,,49ers ,1.94%,5
88,861511192,tjhanlon04,0,108.5,QB Kirk Cousins TE Cameron Brate WR Keenan Allen WR Chris Hogan WR Jamison Crowder RB Alvin Kamara FLEX C.J. Anderson DST Broncos  RB DeMarco Murray,,Tyreek Hill,1.94%,7.5
