Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
37,863613927,jwald17,0,112.5,WR Mike Wallace QB Kirk Cousins WR Marvin Jones Jr. TE Zach Ertz FLEX Lamar Miller RB Kareem Hunt RB C.J. Anderson DST Broncos  WR Roger Lewis,,Taylor Gabriel,5.13%,7.9
38,863435274,68acsauh,0,106.34,DST Redskins  QB Drew Brees FLEX Mark Ingram WR Alshon Jeffery RB Javorius Allen WR Michael Thomas WR Adam Thielen TE George Kittle RB C.J. Anderson,,Javorius Allen,5.13%,9.6
39,863493841,yobutkus,0,102.76,DST Redskins  QB Cam Newton WR Terrelle Pryor Sr. FLEX Marvin Jones Jr. WR DeAndre Hopkins WR Devin Funchess RB Kareem Hunt RB Alvin Kamara TE A.J. Derby,,Hunter Henry,5.13%,14
,,,,,,,Nelson Agholor,5.13%,15.5
,,,,,,,Tyler Higbee,5.13%,1
,,,,,,,Marvin Jones Jr.,5.13%,21.6
,,,,,,,Ed Dickson,5.13%,7.6
,,,,,,,Ravens ,5.13%,20
,,,,,,,Zach Ertz,5.13%,15.8
,,,,,,,Jamison Crowder,5.13%,5.6
,,,,,,,Kyle Rudolph,5.13%,9.7
,,,,,,,Jordan Reed,5.13%,7.7
,,,,,,,Leonard Fournette,5.13%,24.8
,,,,,,,Golden Tate,5.13%,22.6
,,,,,,,Coby Fleener,5.13%,0
,,,,,,,Alshon Jeffery,2.56%,11.1
,,,,,,,George Kittle,2.56%,8.6
,,,,,,,Adrian Peterson,2.56%,28.4
,,,,,,,Carson Wentz,2.56%,22.38
,,,,,,,Eagles ,2.56%,8
,,,,,,,Blake Bortles,2.56%,14.54
,,,,,,,Emmanuel Sanders,2.56%,12.6
,,,,,,,John Brown,2.56%,15.3
,,,,,,,A.J. Derby,2.56%,2
,,,,,,,Brian Hoyer,2.56%,1.36
,,,,,,,Pierre Garcon,2.56%,10.5
,,,,,,,Keenan Allen,2.56%,9.5
,,,,,,,Austin Hooper,2.56%,11.8
,,,,,,,Roger Lewis,2.56%,2.5
,,,,,,,Ted Ginn Jr.,2.56%,16.9
,,,,,,,Christian McCaffrey,2.56%,22.4
,,,,,,,Chiefs ,2.56%,4
,,,,,,,Saints ,2.56%,32
,,,,,,,Cardinals ,2.56%,5
,,,,,,,Chris Thompson,2.56%,20.8
,,,,,,,Delanie Walker,2.56%,5.4
,,,,,,,Rishard Matthews,2.56%,10.9
,,,,,,,Chargers ,2.56%,6
,,,,,,,Browns ,2.56%,9
,,,,,,,Kevin Hogan,2.56%,10.2
,,,,,,,Jordy Nelson,2.56%,12
,,,,,,,DeMarco Murray,2.56%,18.7
,,,,,,,Duke Johnson Jr.,2.56%,6.9
,,,,,,,Texans ,2.56%,22
,,,,,,,James White,2.56%,8.5
,,,,,,,Martavis Bryant,2.56%,4.7
