player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Dwayne Allen,TE,6.69,3.05,0.58,12.8,7.64,7.7,#N/A,,,,,,,
Virgil Green,TE,6.64,1.43,3.78,9.49,6.44,6.86,#N/A,,,,,,,
Will Tye,TE,6.38,1.52,3.34,9.41,6.22,6.02,#N/A,,,,,,,
Jack Doyle,TE,6.18,2.38,1.42,10.95,5.52,7.2,#N/A,,,,,,,
Lance Kendricks,TE,5.84,1.9,2.03,9.64,5.42,6.12,#N/A,,,,,,,
Garrett Celek,TE,5.54,1.74,2.05,9.02,5.27,5.09,#N/A,,,,,,,
Vance McDonald,TE,5.22,2.18,0.85,9.58,4.66,6.63,#N/A,,,,,,,
Larry Donnell,TE,5.17,2.71,-0.25,10.59,6.01,5.67,#N/A,,,,,,,
Brent Celek,TE,4.72,4.72,-4.73,14.17,2.47,3.47,#N/A,,,,,,,
Dion Sims,TE,4.7,2.04,0.62,8.79,4.26,4.54,#N/A,,,,,,,
Ryan Griffin,TE,4.58,2.39,-0.2,9.37,5.07,4.95,#N/A,,,,,,,
Darren Fells,TE,4.35,1.98,0.39,8.3,3.9,3.69,#N/A,,,,,,,
Austin Seferian-Jenkins,TE,4.25,3.63,-3.01,11.5,6.94,5.33,#N/A,,,,,,,
Trey Burton,TE,4.19,1.75,0.7,7.69,3.91,3.3,#N/A,,,,,,,
Crockett Gillmore,TE,3.86,2.22,-0.58,8.29,3.33,3.33,#N/A,,,,,,,
Vernon Davis,TE,2.8,1.16,0.47,5.13,2.48,2.79,#N/A,,,,,,,
Jermaine Gresham,TE,2.71,1.08,0.56,4.86,2.46,2.73,#N/A,,,,,,,
Ed Dickson,TE,2.61,1.18,0.26,4.96,2.32,2.62,#N/A,,,,,,,
John Phillips,TE,2.56,2.24,-1.92,7.03,1.7,1.34,#N/A,,,,,,,
Mychal Rivera,TE,2.45,2.08,-1.71,6.6,1.51,2.16,#N/A,,,,,,,
Tyler Kroft,TE,2.42,2.68,-2.93,7.78,1.04,0.6,#N/A,,,,,,,
Austin Hooper,TE,2.41,0.65,1.1,3.71,2.3,2.54,#N/A,,,,,,,
Jeff Heuerman,TE,2.38,2.48,-2.58,7.35,1.18,1.56,#N/A,,,,,,,
C.J. Uzomah,TE,2.36,1.33,-0.29,5.01,1.69,2.74,#N/A,,,,,,,
C.J. Fiedorowicz,TE,2.29,1.63,-0.97,5.55,1.83,1.54,#N/A,,,,,,,
Xavier Grimble,TE,2.23,2.48,-2.73,7.19,1.87,0.99,#N/A,,,,,,,
Brandon Myers,TE,1.98,1.39,-0.8,4.76,1.44,1.78,#N/A,,,,,,,
Tyler Higbee,TE,1.77,1.61,-1.44,4.99,1.13,1.24,#N/A,,,,,,,
Jace Amaro,TE,1.56,1.41,-1.27,4.38,1.49,1.4,#N/A,,,,,,,
Geoff Swaim,TE,1.45,1.31,-1.17,4.08,1.37,1.16,#N/A,,,,,,,
Levine Toilolo,TE,1.4,1.45,-1.5,4.3,0.63,0.89,#N/A,,,,,,,
Stephen Anderson,TE,1.39,1.24,-1.08,3.87,0.83,0.99,#N/A,,,,,,,
MarQueis Gray,TE,1.29,1.2,-1.11,3.69,0.69,0.56,#N/A,,,,,,,
Kellen Davis,TE,1.23,0.78,-0.34,2.79,0.64,1.43,#N/A,,,,,,,
MyCole Pruitt,TE,1.17,0.91,-0.65,2.99,1.24,0.84,#N/A,,,,,,,
