Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
65,853695854,clewis1250,0,164.32,WR Will Fuller V FLEX Tyreek Hill QB Mitchell Trubisky DST Titans  WR Dez Bryant WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon RB Ezekiel Elliott,,Tyreek Hill,3.52%,16.8
66,851105127,shocae,0,164.06,DST Eagles  FLEX Dez Bryant RB Le'Veon Bell WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries RB Melvin Gordon QB Jameis Winston,,Marshawn Lynch,3.52%,12.3
66,853353015,bcassidy13,0,164.06,DST Panthers  WR DeSean Jackson WR Dez Bryant FLEX Jaron Brown RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Jay Ajayi,3.48%,8.9
66,853756657,littleliz93,0,164.06,DST Panthers  WR DeSean Jackson WR Dez Bryant FLEX Jaron Brown RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,49ers ,3.34%,6
69,852851903,14thunderstruck3,0,164.04,FLEX Kyle Rudolph DST Ravens  WR Jordy Nelson WR T.Y. Hilton WR Chris Hogan QB Dak Prescott TE Austin Seferian-Jenkins RB Ezekiel Elliott RB Wayne Gallman,,Mike Gillislee,3.34%,5.2
70,854055444,JJRockafella,0,163.96,DST Ravens  TE Jared Cook WR DeSean Jackson WR Chris Hogan RB Ameer Abdullah WR Mike Evans RB Melvin Gordon QB Jameis Winston FLEX Leonard Fournette,,Deshaun Watson,3.30%,35.54
71,853205108,angrypirate3,0,163.66,FLEX Travis Kelce DST Chiefs  RB Marshawn Lynch WR DeSean Jackson TE Cameron Brate WR Chris Hogan WR Mike Evans QB Jameis Winston RB Leonard Fournette,,Hunter Henry,3.05%,13.2
71,854395995,patmueller21,0,163.66,DST Dolphins  WR Danny Amendola WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell RB James White FLEX Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston,,Aaron Jones,2.97%,23.4
71,854417071,Rjwheeler971,0,163.66,RB Lamar Miller DST Bills  WR Danny Amendola RB LeSean McCoy WR T.Y. Hilton TE Cameron Brate WR Mike Evans FLEX Melvin Gordon QB Jameis Winston,,Sterling Shepard,2.94%,1.9
74,851959387,ianj300,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Dak Prescott,2.83%,30.74
74,852469219,GolfGalaxy,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Jared Cook,2.72%,4.5
76,853893130,barrazj1,0,163.46,DST Ravens  WR Dez Bryant FLEX Zach Ertz WR Chris Hogan TE Austin Seferian-Jenkins WR DeVante Parker QB Jameis Winston RB Aaron Jones RB Leonard Fournette,,Alshon Jeffery,2.47%,6.1
77,854189484,Indysbest,0,163.22,FLEX DeAndre Hopkins DST Dolphins  QB Tom Brady WR Danny Amendola RB Doug Martin WR T.Y. Hilton RB Mike Gillislee WR Chris Hogan TE Hunter Henry,,J.D. McKissic,2.43%,6.6
78,852377379,jflab,0,163.16,DST Steelers  WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate FLEX Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston WR JuJu Smith-Schuster,,Tyler Kroft,2.39%,7.8
79,853565044,wearend,0,162.96,WR Adam Thielen DST Eagles  FLEX LeGarrette Blount WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Steelers ,2.39%,5
80,853480710,jalves33,0,162.86,QB Alex Smith DST Ravens  WR Dez Bryant WR Antonio Brown TE Cameron Brate RB James White FLEX Martavis Bryant WR Brandin Cooks RB Aaron Jones,,Jeremy Maclin,2.28%,10.3
81,852788726,nvalencia30,0,162.84,DST Eagles  WR Danny Amendola WR Dez Bryant RB Andre Ellington WR T.Y. Hilton FLEX Le'Veon Bell RB James White QB Dak Prescott TE Austin Seferian-Jenkins,,Devin Funchess,2.21%,18.3
82,853597958,dmcgatlin,0,162.64,QB Deshaun Watson WR Will Fuller V RB Kareem Hunt DST Dolphins  WR Brandon Marshall WR Danny Amendola RB Le'Veon Bell TE Cameron Brate FLEX James White,,LeSean McCoy,2.10%,14.9
83,851815235,ayealy88,0,162.54,FLEX DeAndre Hopkins DST Vikings  QB Aaron Rodgers WR Danny Amendola RB Marshawn Lynch WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins RB Duke Johnson Jr.,,Zach Ertz,1.99%,18.1
84,852496951,MEdmondsonTX,0,162.32,WR Will Fuller V DST Panthers  QB Tom Brady WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate RB James White WR Chris Hogan FLEX Duke Johnson Jr.,,Cowboys ,1.96%,5
85,854291671,tbakon,0,161.74,QB Deshaun Watson WR Will Fuller V DST Rams  FLEX Frank Gore TE Cameron Brate WR Mike Evans RB Todd Gurley II WR Devin Funchess RB Leonard Fournette,,Jesse James,1.92%,5.4
86,853517640,LuckyPapa,0,161.26,DST Eagles  FLEX Frank Gore TE Delanie Walker WR Danny Amendola WR Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Marvin Jones Jr.,1.85%,11.4
87,853161550,pots88,0,161.16,WR DeAndre Hopkins DST Bills  RB DeMarco Murray WR T.Y. Hilton TE Cameron Brate FLEX Chris Hogan WR Mike Evans QB Jacoby Brissett RB Duke Johnson Jr.,,Cooper Kupp,1.78%,7.4
88,853684764,BadDaddyMikey,0,161.14,WR Will Fuller V DST Lions  RB Frank Gore QB Aaron Rodgers RB Le'Veon Bell TE Cameron Brate WR Paul Richardson WR Chris Hogan FLEX Melvin Gordon,,Rishard Matthews,1.78%,6.1
89,853383973,Beachbum9328,0,161.06,DST Eagles  RB Frank Gore FLEX Dez Bryant TE Cameron Brate WR Chris Hogan WR Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Keenan Allen,1.74%,10.7
90,853319824,johnnya34,0,160.86,TE Ryan Griffin DST Chargers  WR DeSean Jackson FLEX Antonio Brown WR Jaron Brown WR T.Y. Hilton RB Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Panthers ,1.74%,8
91,852475168,CoolFool1951,0,160.84,QB Deshaun Watson WR Will Fuller V RB Kareem Hunt DST Cowboys  WR Danny Amendola WR DeSean Jackson TE Tyler Kroft FLEX Todd Gurley II RB Leonard Fournette,,Jermaine Kearse,1.74%,13.8
92,854264213,jama999,0,160.76,DST Ravens  WR DeSean Jackson WR Pierre Garcon WR Antonio Brown FLEX Austin Seferian-Jenkins QB Jameis Winston RB Duke Johnson Jr. RB Ezekiel Elliott TE Hunter Henry,,Aldrick Robinson,1.70%,1.5
93,852051781,adam5534,0,160.62,DST Bengals  RB Frank Gore QB Brian Hoyer WR Dez Bryant WR Pierre Garcon WR A.J. Green RB Le'Veon Bell TE Austin Seferian-Jenkins FLEX Hunter Henry,,Alex Smith,1.67%,29.86
94,854054724,DasAdam,0,160.56,DST Bills  RB Le'Veon Bell TE Cameron Brate WR Chris Hogan WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston FLEX Duke Johnson Jr.,,Brandon Marshall,1.63%,3.5
95,853900169,ceeldred,0,160.34,RB Lamar Miller DST Chiefs  FLEX Jordan Howard WR Antonio Brown WR T.Y. Hilton QB Dak Prescott WR Donte Moncrief RB Ezekiel Elliott TE George Kittle,,Brian Hoyer,1.63%,25.12
96,851690747,comperio,0,160.26,DST Cardinals  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston FLEX Evan Engram,,Jason Witten,1.56%,13.1
97,853604389,whopperjr11,0,160.22,WR Will Fuller V DST Ravens  QB Tom Brady FLEX Jaron Brown WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate WR Chris Hogan RB Duke Johnson Jr.,,Carson Palmer,1.52%,15.64
98,853709299,SteelPug,0,160.16,WR Will Fuller V WR Tyreek Hill DST Jets  RB Bilal Powell TE Cameron Brate WR Chris Hogan FLEX Mike Evans RB Melvin Gordon QB Jameis Winston,,Eddie Lacy,1.52%,3.8
