Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
34,853547251,mackman1995,0,132.86,DST Chargers  WR Danny Amendola WR DeSean Jackson FLEX Golden Tate RB Andre Ellington TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Ezekiel Elliott,,LeGarrette Blount,6.14%,7.4
37,853507914,webb5008,0,132.46,DST Cardinals  RB Le'Veon Bell RB James White WR Chris Hogan WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston TE Evan Engram,,Delanie Walker,6.14%,5.5
37,853781676,irsports87,0,132.46,DST Cardinals  RB Le'Veon Bell RB James White WR Chris Hogan WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston TE Evan Engram,,Charles Clay,6.14%,5.1
39,853452779,antonino_derosa,0,132.36,FLEX Lamar Miller DST Dolphins  WR Dez Bryant WR Marvin Jones Jr. RB Le'Veon Bell RB Carlos Hyde WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston,,Vikings ,5.26%,6
40,853577518,xprocowboy,0,130.46,DST Jets  WR Pierre Garcon FLEX Andre Ellington WR Jaron Brown RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Duke Johnson Jr.,,Lions ,5.26%,3
41,853584737,TheBigTicket,0,130.06,DST Eagles  WR Danny Amendola RB Andre Ellington WR Chris Hogan FLEX Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Chiefs ,5.26%,10
42,853546060,misterfunn,0,129.86,DST Dolphins  FLEX Frank Gore WR Brandon Marshall WR Dez Bryant RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston,,Jordy Nelson,4.39%,10.4
43,853478047,brussino,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola FLEX Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Pierre Garcon,4.39%,17.4
43,853530345,smallball,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Ezekiel Elliott,,Randall Cobb,4.39%,6.9
43,853635069,PorchKydd,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola FLEX Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,DeAndre Hopkins,4.39%,27.2
